,wfp_price_mean,wfp_inflation_mean,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,acled_events,acled_fatalities,idp_population
lag_1,0.8954614800496195,0.061868342588556516,0.5128984826929635,0.883310432888724,0.8930334228195084,0.039514212397793194,0.6185055199023934,0.0027774945403058887,0.7441798391984792
lag_2,0.5272269424117696,0.15214014560341685,0.6333151848788019,0.7690259896438516,0.04793827934373631,0.10247598041791471,0.21269954525237994,0.0024832853379344755,0.38400522191860526
lag_3,0.726596161490185,0.12929229971790268,0.7867740751040575,0.9146491843801392,0.07846348888891921,0.07937938163025637,0.024763200200208703,0.0005410543771783977,0.47789508500374467
lag_4,0.8907351757445459,0.126384962704357,0.8947103343719717,0.8935691936076842,0.17946943214908195,0.14995013075757607,0.01944322816613485,0.00023916047839977645,0.5728100420324276
lag_5,0.36636598937598797,0.014754790912495139,0.9442433501808258,0.9081354765270715,0.2922227355209436,0.2388391474033566,0.004249507335448839,0.0006362196150311035,0.7498927885404979
lag_6,0.49150738325995835,0.03368448541524472,0.9635673234748039,0.9400571472777601,0.4134187314361678,0.2219502871903981,0.00407596099611969,0.0021676344985484147,0.7272177763820895
