date,observed,trend,seasonal,residual
2017-08-01,19.0,11.333001769432428,7.714110844858227,-0.047112614290654165
2017-09-01,19.0,12.769204487529588,6.424156653821321,-0.1933611413509091
2017-10-01,19.0,14.20218990277398,4.990820223464719,-0.1930101262387005
2017-11-01,19.0,15.631462323874668,3.5938051175484094,-0.2252674414230782
2017-12-01,20.0,17.05660717613695,3.0066720906619624,-0.0632792667989115
2018-01-01,20.0,18.477315929912713,1.6188960764849323,-0.09621200639764638
2018-02-01,20.0,19.89336817147722,0.2458148888800982,-0.1391830603573183
2018-03-01,20.0,21.3047237909371,-2.0135868651756303,0.7088630742385291
2018-04-01,20.0,22.71168142674026,-3.4093012620232543,0.6976198352829961
2018-05-01,20.0,24.114777906534687,-4.467866219776221,0.3530883132415319
2018-06-01,20.0,25.51440320756126,-5.4982722749422654,-0.016130932618992233
2018-07-01,20.0,26.90485291813838,-6.310795733297634,-0.5940571848407465
2018-08-01,35.0,28.159682692844935,6.074189217232368,0.7661280899226988
2018-09-01,35.0,29.366175819781194,4.169191946883448,1.464632233335358
2018-10-01,35.0,30.53324452132579,3.147764376939127,1.318991101735083
2018-11-01,35.0,31.666167256139165,2.097532325968207,1.2363004178926253
2018-12-01,35.0,32.76413793956774,1.5773174052508379,0.6585446551814229
2019-01-01,35.0,33.82296531787397,0.5307259406896684,0.6463087414363571
2019-02-01,35.0,34.83139162506243,-0.5008757969561968,0.6694841718937639
2019-03-01,35.0,35.76630650752638,-0.36110929933641633,-0.40519720818996063
2019-04-01,35.0,36.60939105505661,-1.5917289443776204,-0.017662110678990928
2019-05-01,35.0,37.374469846155385,-2.3884434995483157,0.013973653392930885
2019-06-01,35.0,37.943684357225884,-3.159757589536897,0.21607323231101105
2019-07-01,35.0,37.26745112085446,-3.7936543487702052,1.5262032279157438
2019-08-01,15.0,35.09800255429232,4.476184252141952,-24.574186806434273
2019-09-01,15.0,33.40379426600336,1.9490063407680418,-20.352800606771403
2019-10-01,15.0,32.43005192005299,1.3439935298574563,-18.774045449910446
2019-11-01,15.0,31.72197742671806,0.6183561629681074,-17.340333589686168
2019-12-01,15.0,31.07864865586626,0.1577961932919321,-16.236444849158193
2020-01-01,15.0,30.40294818561379,-0.5673506507522776,-14.835597534861513
2020-02-01,15.0,29.50638560798373,-1.2722355411667876,-13.234150066816945
2020-03-01,15.0,28.042358200617112,1.3201528377100655,-14.362511038327177
2020-04-01,25.0,26.239553717464766,0.2834055367301662,-1.5229592541949302
2020-05-01,25.0,25.46379497116993,-0.28424617062407953,-0.17954880054584876
2020-06-01,25.0,25.4571606191912,-0.8251884710874433,0.3680278518962439
2020-07-01,25.0,25.576836684324025,-1.2791532872414073,0.7023166029173815
2020-08-01,25.0,25.728795405787675,2.7911001809131513,-3.5198955867008266
2020-09-01,25.0,25.909842851552167,-0.2794880001525257,-0.6303548513996411
2020-10-01,25.0,26.11592488914612,-0.4789490422924051,-0.6369758468537157
2020-11-01,25.0,26.344804551468346,-0.8779209753822922,-0.4668835760860546
2020-12-01,25.0,26.591885999564845,-1.2586777857437599,-0.33320821382108434
2021-01-01,25.0,26.855242201954148,-1.6720472976612817,-0.1831949042928649
2021-02-01,25.0,27.141998385582138,-2.0644248034819985,-0.07757358210013976
2021-03-01,30.0,27.46767949879136,3.0578050693913155,-0.525484568182673
2021-04-01,30.0,27.841504684049834,2.248544278029739,-0.09004896207957458
2021-05-01,30.0,28.26364633711352,1.8760263940832913,-0.13967273119681067
2021-06-01,30.0,28.77525722123278,1.4607563066642006,-0.23601352789698282
2021-07-01,30.0,29.412588327317025,1.067152077866347,-0.4797404051833709
2021-08-01,30.0,30.099089545383027,-0.08753944410873836,-0.011550101274288238
2021-09-01,40.0,30.75743908788457,-1.8414943160482915,11.08405522816372
2021-10-01,40.0,31.380482596569294,-2.2871035030386424,10.90662090646935
2021-11-01,40.0,31.98919509266251,-2.6035426396896666,10.614347547027155
2021-12-01,40.0,32.60594064379729,-2.881078250031534,10.275137606234246
2022-01-01,40.0,33.237420714372895,-3.0959083570842614,9.858487642711367
2022-02-01,40.0,33.88190244006337,-3.2620476224614476,9.380145182398074
2022-03-01,40.0,34.54336288329236,5.247873308533378,0.2087638081742611
2022-04-01,40.0,35.22186773942444,4.625636712052341,0.15249554852321978
2022-05-01,40.0,35.87118339484133,3.7050997181520495,0.4237168870066199
2022-06-01,40.0,36.42104605758046,3.6106683482067945,-0.03171440578725537
2022-07-01,40.0,36.890070826618256,3.4995626376998548,-0.3896334643181092
2022-08-01,40.0,37.32583693922969,2.9067493936520923,-0.23258633288178032
2022-09-01,35.0,37.74504786047041,-4.594337025846884,1.8492891653764758
2022-10-01,35.0,38.15318426594871,-4.041862663579956,0.8886783976312458
2022-11-01,35.0,38.54953262659228,-4.13454684383331,0.5850142172410315
2022-12-01,35.0,38.91204908239775,-4.131452175173647,0.21940309277589876
2023-01-01,35.0,39.162378076672084,-4.017452741260717,-0.1449253354113651
2023-02-01,35.0,39.288365593004926,-3.847744886689137,-0.44062070631579076
2023-03-01,35.0,39.40055934050088,2.761606063174912,-7.162165403675786
2023-04-01,25.0,39.52729635426388,2.6023644367410634,-17.129660791004945
2023-05-01,25.0,39.64115070233163,5.958539556112152,-20.59969025844378
2023-06-01,25.0,39.7338234342179,6.145517701936011,-20.879341136153915
2023-07-01,25.0,39.80600762422307,6.327680126191389,-21.13368775041446
2023-08-01,25.0,39.85929369091747,6.532170409981907,-21.391464100899377
2023-09-01,25.0,39.9400595141189,-6.622553112849952,-8.317506401268947
2023-10-01,35.0,40.14729827067525,-5.794939075674002,0.6476408049987512
2023-11-01,35.0,40.36364645581157,-5.662450746481773,0.29880429067020486
2023-12-01,35.0,40.16051402904209,-5.402894692905431,0.24238066386334367
2024-01-01,35.0,39.60238852465409,-5.012316454079071,0.40992792942498113
2024-02-01,35.0,38.96065511438904,-4.565654998375733,0.604999883986693
2024-03-01,45.0,38.293058348657524,1.7420574555984563,4.96488419574402
2024-04-01,45.0,37.607069009327965,2.0667381029809384,5.3261928876911
2024-05-01,45.0,36.909315422547934,8.011661689244248,0.07902288820781678
2024-06-01,45.0,36.17510380129207,8.506194684578162,0.31870151412977066
2024-07-01,45.0,35.43735334829138,9.031444527286009,0.531202124422606
2024-08-01,45.0,34.696953968203836,10.016850302186873,0.28619572960928963
2024-09-01,25.0,33.953410478522,-8.8466193689251,-0.10679110959689808
2024-10-01,25.0,33.20648852580986,-7.7563544898684915,-0.45013403594136747
2024-11-01,25.0,32.45637066373677,-7.333711962826143,-0.1226587009106268
2024-12-01,25.0,31.703519183482403,-6.7555728084010696,0.05205362491866694
2025-01-01,25.0,30.948416122875603,-6.036621747648055,0.08820562477245275
2025-02-01,25.0,30.191446142892776,-5.274256944795548,0.08281080190277024
2025-03-01,30.0,29.432880935050576,0.644983551548495,-0.07786448659907208
2025-04-01,30.0,28.672906476335154,1.4611801249847185,-0.13408660131987205
