lag,acf,pacf
0,1.0,1.0
1,-0.000831109507928226,-0.0008402425794439149
2,-0.00046633123905261115,-0.0004774005001166668
3,-0.0004752679004281684,-0.0004920904884790592
4,-0.00040946157575349497,-0.0004291283305745329
5,0.062093917368526916,0.06566143240941755
6,-0.2192204395183006,-0.23542225884438125
7,0.030819886242947778,0.03897967559622027
8,-0.11758785181272415,-0.13877142368206252
9,-0.001949004603636141,0.005050332430768928
10,-0.0019579412650117325,-0.012743605712795638
11,-0.1582476669405273,-0.15996249295850626
12,-0.18839161661397721,-0.29894071398898087
13,-0.03211976426121282,-0.01632013254708699
14,-0.00012511325925803252,-0.1021509503364653
15,-0.0001340499206335942,-0.004627595638391998
16,-0.00014298658200919364,-0.025527001414695175
17,0.2186411813764113,0.25169332679628503
18,-0.047045096609002295,-0.22850325279583503
19,-0.1244469979169455,-0.21564935801151017
20,0.08183470692034374,0.0012016992581296855
21,0.0005597599716153503,-0.0024876973044556383
22,0.0005508233102398341,-0.1351695455551547
23,-0.030714271153963753,0.03403737724220856
24,0.06155040587213981,-0.07621141951700251
