date,raw_residuals,standardized_residuals
2017-05-01,-0.00012941112451514414,-4.091937805857745e-05
2017-06-01,-2.0872885848177702e-05,-5.597569372842194e-06
2017-07-01,-3.717426507421351e-05,-1.0902558705702066e-05
2017-08-01,11.28569302141483,3.672726077021144
2017-09-01,-0.7143059295214726,-0.23245676342048954
2017-10-01,-0.7142644416031203,-0.23244326192707296
2017-11-01,2.4142039563912476e-05,9.051724764749245e-06
2017-12-01,-1.5504434287549884e-06,6.905703911919949e-07
2018-01-01,-2.2980421007900986e-05,-6.283428611249595e-06
2018-02-01,1.2511282662330814e-05,5.266705077738282e-06
2018-03-01,-1.4285582519561189,-0.4648972765173453
2018-04-01,3.5714521541983117,1.1622657690777851
2018-05-01,4.630283001461066e-06,2.7019761334283745e-06
2018-06-01,-2.0872883851552615e-05,-5.597568723076634e-06
2018-07-01,-3.717426507421351e-05,-1.0902558705702066e-05
2018-08-01,7.285693021414822,2.3709983497409883
2018-09-01,-0.7143059891261174,-0.23245678281774423
2018-10-01,-0.7142644416031203,-0.23244326192707296
2018-11-01,2.4142039563912476e-05,9.051724764749245e-06
2018-12-01,-1.5504434287549884e-06,6.905703911919949e-07
2019-01-01,-2.2980421007900986e-05,-6.283428611249595e-06
2019-02-01,1.2511282662330814e-05,5.266705077738282e-06
2019-03-01,-1.4285582519561189,-0.4648972765173453
2019-04-01,3.5714521541983117,1.1622657690777851
2019-05-01,4.630283001461066e-06,2.7019761334283745e-06
2019-06-01,-2.0872883851552615e-05,-5.597568723076634e-06
2019-07-01,-3.717426507421351e-05,-1.0902558705702066e-05
2019-08-01,-12.714306978585178,-4.137640286659777
2019-09-01,-0.7143062871493413,-0.23245687980401772
2019-10-01,-0.7142644416031274,-0.23244326192707526
2019-11-01,2.4142039563912476e-05,9.051724764749245e-06
2019-12-01,-1.5504434287549884e-06,6.905703911919949e-07
2020-01-01,-2.2980421007900986e-05,-6.283428611249595e-06
2020-02-01,1.2511282662330814e-05,5.266705077738282e-06
2020-03-01,-1.4285582519561189,-0.4648972765173453
2020-04-01,-6.428547845801688,-2.0920535491225976
2020-05-01,4.481271385969876e-06,2.653482995535452e-06
2020-06-01,-2.0872883858658042e-05,-5.597568725388967e-06
2020-07-01,-3.717426507421351e-05,-1.0902558705702066e-05
2020-08-01,2.285693021414822,0.7438386906407971
2020-09-01,-0.7143060636319234,-0.23245680706431263
2020-10-01,-0.7142644416031274,-0.23244326192707526
2020-11-01,2.4142039563912476e-05,9.051724764749245e-06
2020-12-01,-1.5504434287549884e-06,6.905703911919949e-07
2021-01-01,-2.2980421007900986e-05,-6.283428611249595e-06
2021-02-01,1.2511282662330814e-05,5.266705077738282e-06
2021-03-01,-1.4285582519561189,-0.4648972765173453
2021-04-01,3.5714521541983153,1.1622657690777864
2021-05-01,4.630283001461066e-06,2.7019761334283745e-06
2021-06-01,-2.0872883851552615e-05,-5.597568723076634e-06
2021-07-01,-3.717426507421351e-05,-1.0902558705702066e-05
2021-08-01,-2.714306978585178,-0.8833209684593942
2021-09-01,9.28569386186227,3.0218624868895017
2021-10-01,-0.7142642925915155,-0.23244321343393853
2021-11-01,2.4142039563912476e-05,9.051724764749245e-06
2021-12-01,-1.5504434287549884e-06,6.905703911919949e-07
2022-01-01,-2.2980421007900986e-05,-6.283428611249595e-06
2022-02-01,1.2511282662330814e-05,5.266705077738282e-06
2022-03-01,3.571441748043881,1.162262382582846
2022-04-01,3.5714522287041177,1.1622657933243536
2022-05-01,4.630283001461066e-06,2.7019761334283745e-06
2022-06-01,-2.0872883851552615e-05,-5.597568723076634e-06
2022-07-01,-3.717426507421351e-05,-1.0902558705702066e-05
2022-08-01,-2.714306978585178,-0.8833209684593942
2022-09-01,-5.714306138137729,-1.8596164904110726
2022-10-01,-0.7142645161089334,-0.23244328617364363
2022-11-01,2.4142039563912476e-05,9.051724764749245e-06
2022-12-01,-1.5504434287549884e-06,6.905703911919949e-07
2023-01-01,-2.2980421007900986e-05,-6.283428611249595e-06
2023-02-01,1.2511282662330814e-05,5.266705077738282e-06
2023-03-01,-1.4285582519561189,-0.4648972765173453
2023-04-01,-11.428547845801688,-3.7192132082227887
2023-05-01,4.406765580000638e-06,2.6292364271670737e-06
2023-06-01,-2.0872883858658042e-05,-5.597568725388967e-06
2023-07-01,-3.717426507421351e-05,-1.0902558705702066e-05
2023-08-01,-2.714306978585178,-0.8833209684593942
2023-09-01,-0.7143061381377365,-0.2324568313108833
2023-10-01,4.285735558396869,1.3947163971731147
2023-11-01,2.4216545369881715e-05,9.075971333117624e-06
2023-12-01,-1.550443421649561e-06,6.905703935043279e-07
2024-01-01,-2.2980421007900986e-05,-6.283428611249595e-06
2024-02-01,1.2511282662330814e-05,5.266705077738282e-06
2024-03-01,3.571441748043881,1.162262382582846
2024-04-01,3.5714522287041177,1.1622657933243536
