lag,acled_events,acled_fatalities,idp_population,ipc_phase_3plus_pct,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.7984381141881449,0.5620568588779016,0.9745791303742692,0.9305643069274735,0.6636996388796021,0.84664953113856,0.2990087381481793,0.6493514436407762,0.7460079941482204,0.8638553614297144
2,0.4186679618844261,0.1698607698377553,-0.18889371605042451,-0.04735077444585842,-0.22546988336207682,-0.8181583997358852,0.08867270947141463,0.032181739103713816,-0.24898677422763457,-0.23986141537190384
3,-0.022863010183123218,0.13521681375616246,-0.11816229556180681,-0.04983387428419225,-0.20780877911471543,-0.04367117811358118,0.1545984461572861,0.01971402896308371,0.16617461126101665,0.10293516534521843
4,0.07490021711287977,0.09468647825152587,-0.0657598256027411,-0.0525833086719164,-0.25882305175558495,0.16648965831099982,-0.11955834555303209,0.05959691257517631,0.027851962735035707,0.04236410084684501
5,0.09713336905548815,-0.03216896936505791,-0.05558563282335297,-0.0924752716849474,-0.18224100448888966,-0.5172965192856336,0.0930914294632193,0.009474303668329886,-0.037793579163313405,-0.043749085035083304
6,0.17373316669278835,0.12140314957881577,-0.07652049734111696,-0.06279591488721477,-0.16845874467263597,0.16887156901154332,0.24984250620821077,0.1002769840278341,0.13912605106947287,0.0811636274913473
7,0.19603570840237494,0.11314561246342195,-0.05461963962760443,0.03460609664023173,-0.09645264936910596,0.35195284467127597,-0.09414104848763834,0.08914735111633472,-0.004314572851188014,0.11469081569340961
8,0.08271397188179035,0.03545942320986628,-0.022690177542901504,-0.08673294582690665,0.051690913619341354,-0.31768327477137287,-0.009836556074257822,-0.05290074947461884,-0.1167856297781806,0.0718594992416971
9,-0.14094075411572693,0.030381689772203454,0.02555554083645049,0.2258744316014304,-0.018998111298937085,0.6972241248156382,-0.0954665637022524,-0.31690725138469883,0.11576046719954475,0.22212322209554664
10,-0.02347081731961532,0.1130312421437267,0.014790216433249329,-0.05096491660960373,0.13815269026639324,0.8434291450092561,-0.027888949484942752,0.23798350892998582,-0.16449457376477622,-0.022277780465203713
11,-0.0969552236534815,0.05498804585234084,0.025962688147299913,-0.051736228544540644,0.4860404496941284,-5.221756057703002,0.08474558035123583,0.17105197857509538,-0.19910003507542592,0.0012922092419055103
12,-0.04209889880104739,-0.04582846074765477,0.01583243595638506,-0.021844440874103716,0.24485923992894026,-0.79095392407332,0.13340443906961397,0.14194601356942257,-0.1620859069501543,0.060573529266108594
