date,observed,trend,seasonal,residual
2017-08-01,32.0,30.646077544636498,1.0374094418618744,0.31651301350162697
2017-09-01,32.0,30.88189019538636,1.2406639318990904,-0.12255412728545068
2017-10-01,32.0,31.121227382945673,0.8545536408959804,0.024218976158348227
2017-11-01,32.0,31.364684146142302,0.4589961385634209,0.1763197152942766
2017-12-01,32.0,31.61290310164025,0.08288622209324803,0.30421067626650355
2018-01-01,32.0,31.866436506761907,-0.24278993844521332,0.37635343168330593
2018-02-01,32.0,32.1255889866871,-0.47901841850740157,0.3534294318203024
2018-03-01,32.0,32.390200820437784,-0.46508985759159394,0.07488903715380957
2018-04-01,32.0,32.65929512599175,-0.2856113955828785,-0.37368373040887093
2018-05-01,32.0,32.93054818231268,0.0019554440858422506,-0.9325036263985176
2018-06-01,32.0,33.20008694994866,0.14205474523226594,-1.3421416951809277
2018-07-01,32.0,33.46731557057566,0.034017912999676686,-1.5013334835753334
2018-08-01,35.0,33.738666025611536,1.216768244817773,0.04456572957069227
2018-09-01,35.0,33.973155717912675,0.6476235233566159,0.37922075873071037
2018-10-01,35.0,34.17466165541912,0.13811023210711681,0.6872281124737611
2018-11-01,35.0,34.354767448578166,-0.32755257398736337,0.9727851254091959
2018-12-01,35.0,34.50787569995157,-0.7604119827392044,1.2525362827876378
2019-01-01,35.0,34.5945673131862,-1.103289378169087,1.5087220649828907
2019-02-01,35.0,34.5285296966503,-1.2585247674985247,1.7299950708482257
2019-03-01,35.0,34.171519387416765,-1.7330318796512698,2.561512492234506
2019-04-01,35.0,33.37449766050434,1.2370761913719925,0.3884261481236706
2019-05-01,35.0,32.10347170511693,1.401554687303135,1.4949736075799365
2019-06-01,35.0,30.588420551145763,1.5501115401010375,2.861467908753202
2019-07-01,35.0,29.26069326620365,1.4541102109925408,4.285196522803812
2019-08-01,15.0,28.32931605612878,1.4637645500986605,-14.79308060622744
2019-09-01,15.0,27.697829595333456,-0.15817180179617368,-12.539657793537282
2019-10-01,15.0,27.186521070295335,-0.7145854759487666,-11.471935594346569
2019-11-01,15.0,26.664529625293618,-1.1783682693859916,-10.486161355907626
2019-12-01,15.0,26.049151996323147,-1.5995290532807644,-9.449622943042382
2020-01-01,15.0,25.28033367990814,-1.9041694523003585,-8.37616422760778
2020-02-01,15.0,24.37870044219901,-1.9552120057415494,-7.423488436457458
2020-03-01,15.0,23.647233410444237,-2.789986068594798,-5.857247341849437
2020-04-01,30.0,23.673667326381995,2.86095082326757,3.465381850350436
2020-05-01,30.0,24.59840723832663,2.919602846332039,2.4819899153413303
2020-06-01,30.0,25.877951787518292,3.1131106390795353,1.0089375734021715
2020-07-01,30.0,27.004843831720393,3.096434116482597,-0.1012779482029913
2020-08-01,30.0,27.79664540701585,1.7594096687678786,0.44394492421627163
2020-09-01,30.0,28.202074509385422,-1.1097038934334682,2.9076293840480467
2020-10-01,30.0,28.257457940529882,-1.7599316890873054,3.502473748557424
2020-11-01,30.0,28.060626360587452,-2.261841160455375,4.201214799867923
2020-12-01,30.0,27.704473399757404,-2.6853828636376718,4.980909463880266
2021-01-01,30.0,27.220283904879604,-2.9453454166818274,5.72506151180222
2021-02-01,30.0,26.60038231596447,-2.896663980714577,6.296281664750108
2021-03-01,25.0,25.80819866850994,-3.820176216500881,3.011977547990938
2021-04-01,25.0,24.773938722614957,4.766082546546165,-4.540021269161123
2021-05-01,25.0,23.445532281300363,4.610395439918197,-3.055927721218559
2021-06-01,25.0,22.04909842840524,4.719719263583324,-1.7688176919885628
2021-07-01,25.0,21.854642457096272,4.701435595324758,-1.5560780524210323
2021-08-01,25.0,23.399910518025536,3.4903320495724426,-1.89024256759798
2021-09-01,55.00000000000001,24.996859389118104,-3.2573888210928987,33.2605294319748
2021-10-01,55.00000000000001,25.99659935353136,-3.606703880939881,32.61010452740853
2021-11-01,55.00000000000001,26.677519212643947,-3.7812359472338377,32.103716734589895
2021-12-01,55.00000000000001,27.278940139354276,-3.916891207834128,31.637951068479857
2022-01-01,55.00000000000001,27.95220193821369,-3.955019088417843,31.00281715020416
2022-02-01,55.00000000000001,28.809622922275313,-3.7782416459646275,29.96861872368932
2022-03-01,40.0,29.948547874305522,-2.9444680515679247,12.995920177262402
2022-04-01,40.0,31.466927789996962,6.195775835060639,2.337296374942401
2022-05-01,40.0,32.888313200792894,6.172115594835551,0.9395712043715534
2022-06-01,40.0,33.260039309557854,6.354433977762034,0.38552671268011096
2022-07-01,40.0,32.86420207996189,6.5229970334390455,0.6128008865990608
2022-08-01,40.0,32.40119288689398,6.19405865767067,1.404748455435353
2022-09-01,25.0,32.02301256987669,-4.779876150322874,-2.2431364195538173
2022-10-01,25.0,31.734895798913048,-5.99894855761288,-0.7359472413001669
2022-11-01,25.0,31.519810294725453,-5.8283453268266046,-0.6914649678988489
2022-12-01,25.0,31.3417237311194,-5.638156811954707,-0.7035669191646932
2023-01-01,25.0,31.13964787346886,-5.400216242127047,-0.7394316313418123
2023-02-01,25.0,30.848504649830325,-5.064565921388393,-0.7839387284419317
2023-03-01,25.0,30.427587553677675,-1.2142624083746756,-4.213325145302999
2023-04-01,40.0,29.87780871446662,6.027468048055587,4.09472323747779
2023-05-01,40.0,29.25258341370291,7.82270650170942,2.9247100845876695
2023-06-01,40.0,28.63145866393781,8.025679420684304,3.3428619153778847
2023-07-01,40.0,28.04898485233506,8.34440467492101,3.606610472743931
2023-08-01,40.0,27.488211439380816,8.600066750177035,3.911721810442149
2023-09-01,40.0,26.91933617772367,-6.238052808401645,19.318716630677976
2023-10-01,15.0,26.305502259433066,-7.682802437443032,-3.622699821990036
2023-11-01,15.0,25.619784533068238,-7.341724953597886,-3.2780595794703515
2023-12-01,15.0,24.87157519539617,-6.991363501629638,-2.8802116937665296
2024-01-01,15.0,24.103786363661943,-6.6232142855978084,-2.480572078064135
2024-02-01,15.0,23.388775471312833,-6.235283603311387,-2.1534918680014457
2024-03-01,30.0,22.819182367768082,-0.10985444718894284,7.290672079420862
2024-04-01,30.0,22.448317404309925,5.317941093864077,2.233741501825996
2024-05-01,30.0,22.26851882605868,9.536220290687476,-1.8047391167461555
2024-06-01,30.0,22.23646053007682,9.748109192646812,-1.9845697227236307
2024-07-01,30.0,22.10821828720684,10.201021951518516,-2.309240238725355
2024-08-01,30.0,21.93585196489847,10.959616945046342,-2.8954689099448103
2024-09-01,15.0,21.747280903633506,-7.544145341450194,0.7968644378166871
2024-10-01,15.0,21.556535819606843,-9.183414021426044,2.6268782018192027
2024-11-01,15.0,21.370017154678507,-8.711161951324348,2.3411447966458425
2024-12-01,15.0,21.189225982745306,-8.235579595320832,2.046353612575526
2025-01-01,15.0,21.012767104974568,-7.768648129475193,1.7558810245006242
2025-02-01,15.0,20.837526233075817,-7.351818171980755,1.514291938904936
2025-03-01,20.0,20.659350018420945,1.0910407365197976,-1.7503907549407423
2025-04-01,20.0,20.47383754198254,4.1938458113462085,-4.667683353328748
