date,raw_residuals,standardized_residuals
2017-05-01,2.140875418632504e-05,8.39300915115074e-06
2017-06-01,-0.00013360967344056007,-3.532209921960472e-05
2017-07-01,8.60774278450549e-05,2.6629538320371283e-05
2017-08-01,4.428634157019005,1.2488746677237696
2017-09-01,-1.428438906516277,-0.4028166029692097
2017-10-01,2.8572955478328836,0.8057580741723446
2017-11-01,1.7782774211383412e-05,7.370484861739926e-06
2017-12-01,1.1033310244101813e-05,5.467139864044616e-06
2018-01-01,-3.594286806674063e-05,-7.7801156857611e-06
2018-02-01,-6.275124852805902e-05,-1.5340063719369762e-05
2018-03-01,-0.00010708066697517893,-2.7840934493860354e-05
2018-04-01,-0.7144041942558772,-0.2014592204645051
2018-05-01,-0.0001262298669360007,-3.3240997985121104e-05
2018-06-01,-0.00013360967563613713,-3.53220998387562e-05
2018-07-01,8.607742783794947e-05,2.662953831836756e-05
2018-08-01,18.42863415692441,5.196866700383885
2018-09-01,-1.4284386977749222,-0.40281654410426637
2018-10-01,2.8572955477413444,0.8057580741465306
2018-11-01,1.77828352434517e-05,7.37050207274845e-06
2018-12-01,1.1033310236996385e-05,5.467139862040889e-06
2019-01-01,-3.594286806674063e-05,-7.7801156857611e-06
2019-02-01,-6.275124852805902e-05,-1.5340063719369762e-05
2019-03-01,-0.00010708066697162621,-2.784093449285849e-05
2019-04-01,-0.7144041942406218,-0.2014592204602031
2019-05-01,-0.00012622988220556408,-3.324100229112929e-05
2019-06-01,-0.00013360967564324255,-3.5322099840759925e-05
2019-07-01,8.607742783794947e-05,2.662953831836756e-05
2019-08-01,-11.571365843469223,-3.263116226913101
2019-09-01,-1.4284391443856137,-0.40281667004822724
2019-10-01,2.857295547649798,0.8057580741207145
2019-11-01,1.7782896271967275e-05,7.370519282755111e-06
2019-12-01,1.1033310244101813e-05,5.467139864044616e-06
2020-01-01,-3.594286806674063e-05,-7.7801156857611e-06
2020-02-01,-6.275124852805902e-05,-1.5340063719369762e-05
2020-03-01,-0.00010708066697162621,-2.784093449285849e-05
2020-04-01,4.285595805774641,1.208537934075098
2020-05-01,-0.00012615539164784195,-3.321999599624377e-05
2020-06-01,-0.00013360967563613713,-3.53220998387562e-05
2020-07-01,8.607742783084404e-05,2.662953831636383e-05
2020-08-01,-6.571365843222061,-1.853119072312404
2020-09-01,-1.4284390700964593,-0.402816649098728
2020-10-01,2.8572955475582518,0.8057580740948985
2020-11-01,1.7782957307588276e-05,7.370536494765498e-06
2020-12-01,1.1033310244101813e-05,5.467139864044616e-06
2021-01-01,-3.594286806674063e-05,-7.7801156857611e-06
2021-02-01,-6.275124853516445e-05,-1.5340063721373486e-05
2021-03-01,-5.000107080666979,-1.4100249954654918
2021-04-01,-0.7144042688227046,-0.20145924149230798
2021-05-01,-0.00012622980591459054,-3.324098077711817e-05
2021-06-01,-0.00013360967564324255,-3.5322099840759925e-05
2021-07-01,8.607742782373862e-05,2.6629538314360104e-05
2021-08-01,-1.5713658430816935,-0.4431219177418236
2021-09-01,8.571561004299497,2.417177680942883
2021-10-01,2.8572956964783245,0.8057581160902743
2021-11-01,1.778301833610385e-05,7.3705537047721595e-06
2021-12-01,1.1033310244101813e-05,5.467139864044616e-06
2022-01-01,-3.594286806674063e-05,-7.7801156857611e-06
2022-02-01,-6.275124852805902e-05,-1.5340063719369762e-05
2022-03-01,-0.00010708056017705303,-2.7840904376849628e-05
2022-04-01,-0.7144041944084449,-0.2014592205075291
2022-05-01,-0.0001262298211770485,-3.324098508112263e-05
2022-06-01,-0.00013360967563613713,-3.53220998387562e-05
2022-07-01,8.607742782373862e-05,2.6629538314360104e-05
2022-08-01,-1.5713658430481274,-0.443121917732358
2022-09-01,-1.4284389959171548,-0.40281662818020636
2022-10-01,2.8572955475887625,0.8057580741035025
2022-11-01,1.7783079364619425e-05,7.370570914778821e-06
2022-12-01,1.1033310244101813e-05,5.467139864044616e-06
2023-01-01,-3.594286806674063e-05,-7.7801156857611e-06
2023-02-01,-6.275124852805902e-05,-1.5340063719369762e-05
2023-03-01,-0.0001070805601699476,-2.78409043748459e-05
2023-04-01,-0.7144041943931896,-0.20145922050322712
2023-05-01,-0.00012622983643240104,-3.324098938312336e-05
2023-06-01,-0.00013360967563613713,-3.53220998387562e-05
2023-07-01,8.607742781663319e-05,2.662953831235638e-05
2023-08-01,-1.5713658430145614,-0.44312191772289233
2023-09-01,-1.4284389959202102,-0.40281662818106795
2023-10-01,-17.142704452502777,-4.834230544046299
2023-11-01,1.7485117176363474e-05,7.2865457472590765e-06
2023-12-01,1.1033310236996385e-05,5.467139862040889e-06
2024-01-01,-3.594286805608249e-05,-7.78011568275551e-06
2024-02-01,-6.275124852450631e-05,-1.53400637183679e-05
2024-03-01,4.99989291943983,1.4099693136266223
2024-04-01,-0.7144041198721247,-0.20145919948832922
