lag,acf,pacf
0,1.0,1.0
1,-0.0003229837115650582,-0.00032641970849662144
2,-5.999871030809061e-05,-6.139556152121274e-05
3,0.0002562561739327136,0.0002645723348161245
4,-0.020833103587492983,-0.021748679346461693
5,-0.08409445404444575,-0.08882243865938216
6,-0.08409781845810792,-0.09075716304434084
7,0.021328793867047703,0.02226522975434505
8,-0.042198906004824184,-0.04707343261190133
9,-3.0279722959229418e-05,-0.004614279569357659
10,-3.364413662132696e-05,-0.012348679532013362
11,0.06322097749300719,0.057332265342199956
12,-0.004257572033498358,-0.010478501892033325
13,-0.042215728073134874,-0.05402647582835259
14,0.00021924762364919324,-0.010033023530102353
15,0.0012812808696635602,0.005026861938075766
16,0.0012779164560013756,0.009350278108176216
17,-0.04089743865318784,-0.04346975701172676
18,0.0012711876286771496,-0.013265413766791445
19,0.042374416250865625,0.05117831673431226
20,0.08454304253273058,0.11299317845384724
21,0.00019569672801423077,-0.00285782081911971
22,0.0001923323143521113,-0.013312698087807771
23,0.00018896790068997286,-0.00562732823814321
24,-0.13476476673865884,-0.16373574270156144
