,wfp_price_mean,wfp_inflation_mean,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,acled_events,acled_fatalities,idp_population
lag_1,0.29147414678078565,0.015601917821858238,0.0266998979844398,0.12627474170227282,0.1933772150125136,0.08414650170266334,0.5072862971256943,0.9225008958741587,0.23785302231685207
lag_2,0.07513743972928344,0.04020922933894262,0.08417474777469194,0.21534437556056713,0.2748817497412457,0.1957326547324011,0.7894681399541514,0.9797255784541014,0.12633187644606964
lag_3,0.16423696296899445,0.0413187929429511,0.17719672631928557,0.35995739329621346,0.3659950640978208,0.15472601479276732,0.7318258175998742,0.9923979975433829,0.08971604247515193
lag_4,0.11413865149219245,0.07317602903334341,0.31925274833168554,0.5494672590948728,0.47078183567108733,0.2944864425307148,0.818612314343689,0.8914635291395331,0.16792080306716928
lag_5,0.081559645107417,0.12301411392474314,0.4653279343902884,0.4703799413101627,0.6306559576402346,0.4391377216928273,0.7935531523738495,0.8840775859002851,0.16894757034783522
lag_6,0.12288103881483228,0.15502134474903104,0.5350033382309825,0.4007494994706757,0.7304621740126016,0.5264101078803275,0.852331231580804,0.9397314575584973,0.24267906500122663
