lag,acf,pacf
0,1.0,1.0
1,0.8390352899022577,0.8481552387055432
2,0.6780705798045152,-0.09405204694505319
3,0.5198053250095606,-0.09392388569740968
4,0.3615400702146058,-0.11404944932016094
5,0.2550659080181773,0.07235740430821166
6,0.14859174582174853,-0.10339365991035311
7,0.07564049294925455,0.024057617513955392
8,0.036212149400695205,0.033921382684727365
9,0.031200659424708736,0.09527424180600179
10,0.026189169448722315,-0.059574345928184606
11,0.021177679472735817,-0.01211480392235893
12,-0.017356719827185233,-0.1625268003185973
13,-0.056937258185100606,-0.016146963778002964
14,-0.1114168673536535,-0.1310168558425971
15,-0.16589647652220652,-0.03099774595516789
16,-0.22037608569075942,-0.11629862528253099
17,-0.2748556948593124,-0.06010933790991501
18,-0.32188576862254653,-0.13329894166045528
19,-0.35774153927780256,-0.07003926253521177
20,-0.2903291266584668,0.3472666483300979
21,-0.22515157466072702,-0.0350234386427474
22,-0.1599740226629871,-0.020533149005108844
23,-0.0947964706652472,-0.006269778412993288
24,-0.06314182799144191,-0.036368519214651555
