,wfp_price_mean,wfp_inflation_mean,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,acled_events,acled_fatalities,idp_population
lag_1,0.6872083313300662,0.8835409491722493,0.09954357401790978,0.07879142347299482,0.6693990061901967,0.8095216632762829,0.1343646453109799,0.033083421534715204,0.0862457509650974
lag_2,0.6087128642318493,0.7187226411676766,0.3111978186943214,0.11306797726790162,0.7350890885962945,0.4499994839956476,0.03076626894900151,0.0796036877987622,0.1422233649792953
lag_3,0.5259763360279024,0.7155910971184765,0.5254692632722581,0.26534146631595773,0.5459361595268871,0.4209638419352082,0.07066629307442518,0.08766714751993372,0.22951191514560354
lag_4,0.6187769610098728,0.7595195501999756,0.27569683225770775,0.07302953721381879,0.5302492974546238,0.6210775235441541,0.08456777663279996,0.13589157958491083,0.27891068498724486
lag_5,0.5816592134107865,0.910474086263364,0.3235821000854984,0.1449198089320837,0.4854517437520358,0.8245336083472279,0.18606653111465155,0.2933432843481351,0.4567288480693341
lag_6,0.5204367916905182,0.9239560740281445,0.07150460319284319,0.16693999562779854,0.5886454856986958,0.8139580987912545,0.23164827095843224,0.31892201322534514,0.12500541660092807
