date,actual,actual_train,actual_test,forecast_holt-winters,forecast_sarimax,forecast_prophet,forecast_var
2017-08-01,30.029411764705884,30.029411764705884,,,,,
2017-09-01,30.029411764705884,30.029411764705884,,,,,
2017-10-01,30.029411764705884,30.029411764705884,,,,,
2017-11-01,30.029411764705884,30.029411764705884,,,,,
2017-12-01,31.264705882352942,31.264705882352942,,,,,
2018-01-01,31.264705882352942,31.264705882352942,,,,,
2018-02-01,31.264705882352942,31.264705882352942,,,,,
2018-03-01,31.264705882352942,31.264705882352942,,,,,
2018-04-01,31.264705882352942,31.264705882352942,,,,,
2018-05-01,31.264705882352942,31.264705882352942,,,,,
2018-06-01,31.264705882352942,31.264705882352942,,,,,
2018-07-01,31.264705882352942,31.264705882352942,,,,,
2018-08-01,42.38235294117647,42.38235294117647,,,,,
2018-09-01,42.38235294117647,42.38235294117647,,,,,
2018-10-01,42.38235294117647,42.38235294117647,,,,,
2018-11-01,42.38235294117647,42.38235294117647,,,,,
2018-12-01,42.38235294117647,42.38235294117647,,,,,
2019-01-01,42.38235294117647,42.38235294117647,,,,,
2019-02-01,42.38235294117647,42.38235294117647,,,,,
2019-03-01,42.38235294117647,42.38235294117647,,,,,
2019-04-01,42.38235294117647,42.38235294117647,,,,,
2019-05-01,42.38235294117647,42.38235294117647,,,,,
2019-06-01,42.38235294117647,42.38235294117647,,,,,
2019-07-01,42.38235294117647,42.38235294117647,,,,,
2019-08-01,34.55882352941177,34.55882352941177,,,,,
2019-09-01,34.55882352941177,34.55882352941177,,,,,
2019-10-01,34.55882352941177,34.55882352941177,,,,,
2019-11-01,34.55882352941177,34.55882352941177,,,,,
2019-12-01,34.55882352941177,34.55882352941177,,,,,
2020-01-01,34.55882352941177,34.55882352941177,,,,,
2020-02-01,34.55882352941177,34.55882352941177,,,,,
2020-03-01,34.55882352941177,34.55882352941177,,,,,
2020-04-01,35.73529411764706,35.73529411764706,,,,,
2020-05-01,35.73529411764706,35.73529411764706,,,,,
2020-06-01,35.73529411764706,35.73529411764706,,,,,
2020-07-01,35.73529411764706,35.73529411764706,,,,,
2020-08-01,35.88235294117647,35.88235294117647,,,,,
2020-09-01,35.88235294117647,35.88235294117647,,,,,
2020-10-01,35.88235294117647,35.88235294117647,,,,,
2020-11-01,35.88235294117647,35.88235294117647,,,,,
2020-12-01,35.88235294117647,35.88235294117647,,,,,
2021-01-01,35.88235294117647,35.88235294117647,,,,,
2021-02-01,35.88235294117647,35.88235294117647,,,,,
2021-03-01,33.8235294117647,33.8235294117647,,,,,
2021-04-01,33.8235294117647,33.8235294117647,,,,,
2021-05-01,33.8235294117647,33.8235294117647,,,,,
2021-06-01,33.8235294117647,33.8235294117647,,,,,
2021-07-01,33.8235294117647,33.8235294117647,,,,,
2021-08-01,33.8235294117647,33.8235294117647,,,,,
2021-09-01,47.05882352941177,47.05882352941177,,,,,
2021-10-01,47.05882352941177,47.05882352941177,,,,,
2021-11-01,47.05882352941177,47.05882352941177,,,,,
2021-12-01,47.05882352941177,47.05882352941177,,,,,
2022-01-01,47.05882352941177,47.05882352941177,,,,,
2022-02-01,47.05882352941177,47.05882352941177,,,,,
2022-03-01,46.61764705882353,46.61764705882353,,,,,
2022-04-01,46.61764705882353,46.61764705882353,,,,,
2022-05-01,46.61764705882353,46.61764705882353,,,,,
2022-06-01,46.61764705882353,46.61764705882353,,,,,
2022-07-01,46.61764705882353,46.61764705882353,,,,,
2022-08-01,46.61764705882353,46.61764705882353,,,,,
2022-09-01,40.73529411764706,40.73529411764706,,,,,
2022-10-01,40.73529411764706,40.73529411764706,,,,,
2022-11-01,40.73529411764706,40.73529411764706,,,,,
2022-12-01,40.73529411764706,40.73529411764706,,,,,
2023-01-01,40.73529411764706,40.73529411764706,,,,,
2023-02-01,40.73529411764706,40.73529411764706,,,,,
2023-03-01,40.73529411764706,40.73529411764706,,,,,
2023-04-01,40.14705882352941,40.14705882352941,,,,,
2023-05-01,40.14705882352941,40.14705882352941,,,,,
2023-06-01,40.14705882352941,40.14705882352941,,,,,
2023-07-01,40.14705882352941,40.14705882352941,,,,,
2023-08-01,40.14705882352941,40.14705882352941,,,,,
2023-09-01,40.14705882352941,40.14705882352941,,,,,
2023-10-01,31.470588235294116,31.470588235294116,,,,,
2023-11-01,31.470588235294116,31.470588235294116,,,,,
2023-12-01,31.470588235294116,31.470588235294116,,,,,
2024-01-01,31.470588235294116,31.470588235294116,,,,,
2024-02-01,31.470588235294116,31.470588235294116,,,,,
2024-03-01,35.294117647058826,35.294117647058826,,,,,
2024-04-01,35.294117647058826,35.294117647058826,,,,,
2024-05-01,35.294117647058826,,35.294117647058826,35.294129338425776,34.20460453266317,43.05449527904158,35.89882770175519
2024-06-01,35.294117647058826,,35.294117647058826,35.294142077809944,34.907397548382626,42.83918083156892,36.534131807165096
