,rf_projected,ridge_projected
2025-05-01,29.190980392156863,35.25760225812752
2025-06-01,29.094117647058816,34.69895859958912
2025-07-01,29.49725490196077,34.39616653248027
2025-08-01,28.87549019607842,34.330893560412235
2025-09-01,28.89627450980391,33.92301300804084
2025-10-01,29.235490196078437,34.13056472347423
2025-11-01,29.535686274509803,33.723340144864835
2025-12-01,29.096078431372554,32.3299928268993
2026-01-01,28.620588235294132,32.67005871096515
2026-02-01,28.556862745098055,31.573217934610767
2026-03-01,28.861372549019617,32.14934587042189
2026-04-01,28.90980392156865,33.51547267509903
