date,acled_events,acled_fatalities,idp_population,wfp_price_mean,wfp_inflation_mean,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,ipc_phase_3plus_pct
2017-08-01,1389,3670.0,0.0,1.0052941176470591,5.148676470588235,8.131670723517646,30.73992151838237,106.66150258823531,122.9162874117647,30.029411764705884
2017-09-01,1020,2719.0,0.0,1.0025,4.17485294117647,4.619078884044118,30.600679945617657,98.83230514705882,128.23226297058824,30.029411764705884
2017-10-01,1294,3777.0,0.0,1.003235294117647,3.775588235294117,5.461919844117648,18.212669152941174,79.05814523529409,87.69459973529412,30.029411764705884
2017-11-01,981,1913.0,0.0,1.0066176470588235,3.0208823529411766,24.225014135294124,34.30601254411765,120.29425047058828,102.87888426470587,30.029411764705884
2017-12-01,1012,2793.0,245765.6601966874,0.9960294117647057,2.7404411764705885,30.024294323529414,59.71122891176471,108.13395591176472,106.64791594117644,31.264705882352942
2018-01-01,1167,3002.0,0.0,0.9983823529411767,3.4698529411764714,12.978670394117644,67.22797976470588,42.397694117647056,80.3249468235294,31.264705882352942
2018-02-01,954,1872.0,0.0,0.9917647058823529,1.9466176470588237,64.49500435294118,107.49796897058825,103.15857605882354,84.475069,31.264705882352942
2018-03-01,1009,2405.0,265032.7471532091,1.0005882352941178,1.6729411764705886,83.02233047058826,160.49600554411768,119.33950217647062,94.87859091176472,31.264705882352942
2018-04-01,1263,2942.0,0.0,1.0105882352941178,3.426029411764705,49.5355010882353,197.05283444117651,100.74566179411762,108.84105076470587,31.264705882352942
2018-05-01,1536,4336.0,0.0,1.0129411764705885,1.1788235294117648,41.029666958823526,173.5875005588235,149.6752762941176,119.90569617647058,31.264705882352942
2018-06-01,1456,3765.0,268340.4600931677,1.0135294117647058,-0.44705882352941173,8.95284250750588,99.51801126470588,120.10127635294118,120.23953329411765,31.264705882352942
2018-07-01,1661,5585.0,0.0,1.0107352941176473,-0.22411764705882353,11.776399192388238,61.7589084823529,113.24595549999997,143.18892585294114,31.264705882352942
2018-08-01,1412,4987.0,0.0,1.0125,0.7752941176470587,4.907677124411763,25.636919744852936,95.00949,111.7745907352941,42.38235294117647
2018-09-01,1052,4359.0,379278.6182884748,1.0205882352941176,1.8327941176470588,5.5098247815147054,22.19390149032353,103.14219035294116,105.33864064705885,42.38235294117647
2018-10-01,1056,3686.0,0.0,1.0226470588235292,1.9213235294117652,25.453235802941172,35.87073812941175,198.64203629411767,165.7322098235294,42.38235294117647
2018-11-01,1001,4006.0,0.0,1.0204411764705885,1.5150000000000003,23.352863961764704,54.31592341176469,109.9340559411765,142.32328276470588,42.38235294117647
2018-12-01,1010,3627.0,582871.0774363445,1.0177941176470586,2.042647058823529,29.599364470588238,78.4054640882353,102.05823635294121,127.8226197352941,42.38235294117647
2019-01-01,953,3301.0,0.0,1.0122058823529412,1.386764705882353,65.28029385294117,118.23252379411765,163.86291061764703,131.36148317647056,42.38235294117647
2019-02-01,788,2548.0,0.0,1.0045588235294118,1.290735294117647,109.528852,204.40850879411764,170.31956764705882,154.4290614705882,42.38235294117647
2019-03-01,956,3264.0,0.0,1.0020588235294117,0.2464705882352944,94.13125044117649,268.9403945294118,152.3469632058823,162.79082352941182,42.38235294117647
