label,order,seasonal,aic,bic
"ARIMA(1, 0, 1)x(0, 0, 0, 0)","(1, 0, 1)","(0, 0, 0, 0)",374.7096496711118,381.8179932285128
"ARIMA(1, 1, 1)x(0, 0, 0, 0)","(1, 1, 1)","(0, 0, 0, 0)",371.0435877585979,378.11371423866666
"ARIMA(1, 1, 1)x(1, 0, 0, 12)","(1, 1, 1)","(1, 0, 0, 12)",298.12329387014694,306.9420643477108
"ARIMA(1, 1, 1)x(1, 1, 1, 12)","(1, 1, 1)","(1, 1, 1, 12)",265.1354312605407,275.08035149336206
"ARIMA(2, 1, 1)x(1, 1, 1, 12)","(2, 1, 1)","(1, 1, 1, 12)",267.1138136701355,279.04771794952114
"ARIMA(1, 1, 2)x(1, 1, 1, 12)","(1, 1, 2)","(1, 1, 1, 12)",261.7203585015512,273.5421099828639
