lag,acf,pacf
0,1.0,1.0
1,-8.284034440578686e-05,-8.375067786080662e-05
2,-0.0001529842737671177,-0.00015639093956827435
3,-0.0001538750301585687,-0.00015908803108999618
4,9.587867843808837e-05,0.00010018569545387829
5,-0.05756071706736982,-0.06086884128753787
6,-0.1321924684974807,-0.14195095992619275
7,0.0052530554939195844,0.004529849821000688
8,0.007982007768383896,0.008975922432366891
9,0.00015011127075803093,0.0002753399701066337
10,0.0001492205143665649,-0.003608472682225233
11,0.12884543518830666,0.13222462577276256
12,-0.27402707577549085,-0.3465917590265839
13,0.09176495214260479,0.1413794661389074
14,-0.0004406860423440757,-0.014418787219731418
15,-0.0004415767987355389,0.0019518829913273813
16,-0.0004424675551270501,0.016439497637074165
17,0.009278096485659226,0.023954972685455114
18,-0.0183915502319306,-0.14694116859273476
19,0.020789004714581293,0.1020131140391043
20,0.005799126269371711,-0.004670923781891058
21,-0.00010642656998250739,-0.0015440955014799018
22,-0.00010731732637396914,-0.01810888512515813
23,-0.0028003032573685085,0.11819631928886527
24,0.09283590973596284,-0.082830502359793
