,wfp_price_mean,wfp_inflation_mean,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,acled_events,acled_fatalities,idp_population
2025-05-01,1.1008898251249977,-1.267386464153464,17.797339462555424,97.4866781609487,93.20362795685998,85.30241926911941,62.740341971449936,27.86252333447304,0.0
2025-06-01,1.1056406358455242,-1.4077241779224776,0.0,27.601433276725082,86.57693827578755,86.13733425802816,48.4806840510772,0.0,0.0
2025-07-01,1.1074477230320037,-1.280733745309757,1.4751307991369735,0.0,91.05400039223359,83.44676206913984,34.22102613070446,0.0,0.0
2025-08-01,1.1090214630467568,-1.0953245449143045,0.0,0.0,84.31059695822823,79.401659644973,19.961368210331713,0.0,0.0
2025-09-01,1.1057368002076702,-1.2134707304685461,0.0,0.0,76.40900469248547,77.04114143313716,5.701710289958967,0.0,0.0
2025-10-01,1.101475519267633,-1.3717947174897267,0.6700698641916709,0.0,89.29854514935944,74.23295743001066,0.0,0.0,0.0
2025-11-01,1.0968597437280632,-1.458369051796084,14.956396341258548,0.0,96.71892603754857,79.77792158023996,0.0,0.0,0.0
2025-12-01,1.0899412831171833,-1.3829975535952799,12.664525340220806,0.0,60.2637644956354,65.28135428507797,0.0,0.0,0.0
2026-01-01,1.084671861329148,-1.1991221254630875,27.03664593344785,19.58288753321887,78.14346652349612,63.742003879291076,0.0,0.0,0.0
2026-02-01,1.0797657200230142,-1.4130050395066123,46.68373489621452,51.30009996424758,69.8139031731754,56.482127669234615,0.0,0.0,0.0
2026-03-01,1.0765443137926727,-1.7676028764082294,63.37238892084605,102.0052936694166,89.19901616373392,66.4727626428853,0.0,0.0,0.0
2026-04-01,1.0753235173735973,-1.724621265054958,43.259200843516794,118.23274766141964,89.12585374350363,69.32810492237618,0.0,0.0,0.0
