,rf_projected,ridge_projected
2025-05-01,17.966666666666665,19.244965495112677
2025-06-01,18.0,18.374197269295216
2025-07-01,21.366666666666667,19.563375907993237
2025-08-01,18.4,17.280599983904004
2025-09-01,18.333333333333332,17.21179762923508
2025-10-01,18.866666666666667,18.318971276004987
2025-11-01,18.966666666666665,16.916802161929557
2025-12-01,18.9,15.31503035833812
2026-01-01,19.133333333333333,14.029204660355838
2026-02-01,19.2,11.773075561136984
2026-03-01,19.566666666666666,13.741530506985182
2026-04-01,19.666666666666668,17.199132979812873
