,rf_projected,ridge_projected
2025-05-01,31.46,32.30462297921876
2025-06-01,31.566666666666666,31.33824063232144
2025-07-01,32.28,32.01027936069826
2025-08-01,31.986666666666668,31.50751233295851
2025-09-01,32.22,31.422616404218306
2025-10-01,32.24666666666667,31.54583656212786
2025-11-01,32.1,30.471209380042517
2025-12-01,31.44,29.751472518157968
2026-01-01,31.513333333333332,30.22107720304009
2026-02-01,31.546666666666667,28.81079531002552
2026-03-01,30.993333333333332,28.845975486434444
2026-04-01,31.04,30.096622983746737
