date,wfp_price_mean,wfp_inflation_mean,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,acled_events,acled_fatalities,idp_population,ipc_phase_3plus_pct
2017-08-01,0.92,1.88,0.017082786,0.067674115,100.01397,99.439186,8,10.0,12833.885582995024,45.0
2017-09-01,0.92,1.15,0.017082786,0.084099874,99.94067,99.50151,7,4.0,10051.510405814919,45.0
2017-10-01,0.92,0.2,1.6833115,1.7174771,95.527885,95.51866,8,9.0,7304.394874469467,45.0
2017-11-01,0.92,-1.56,2.9034166,4.603811,92.804665,91.1832,10,21.0,4591.510362455442,45.0
2017-12-01,0.92,-0.7,10.22996,14.816689,113.16904,104.46285,13,3.0,15645.0,45.0
2018-01-01,0.93,0.37,9.132063,22.265442,50.786304,68.24776,13,21.0,18321.777777777777,45.0
2018-02-01,0.92,-0.3,17.693825,37.055847,92.27367,75.07031,21,0.0,20998.555555555555,45.0
2018-03-01,0.91,-1.35,11.009198,37.835087,76.407585,67.59209,11,2.0,23675.333333333332,45.0
2018-04-01,0.88,-4.92,4.570302,33.273323,94.54328,83.80578,6,0.0,23873.333333333332,45.0
2018-05-01,0.92,-0.63,2.457293,18.036793,107.92154,82.31849,8,7.0,24071.333333333332,45.0
2018-06-01,0.95,2.02,0.0006570302,7.028252,99.8784,99.90794,16,34.0,24269.333333333332,45.0
2018-07-01,0.94,1.89,0.049934298,2.5078845,99.54282,107.4121,16,23.0,24269.333333333332,45.0
2018-08-01,0.96,4.45,0.017082786,0.067674115,100.01397,99.439186,13,6.0,24269.333333333332,40.0
2018-09-01,0.96,4.63,0.017082786,0.084099874,99.94067,99.50151,9,0.0,24269.333333333332,40.0
2018-10-01,0.95,3.61,1.7700394,1.804205,96.76753,96.751884,13,26.0,24269.333333333332,40.0
2018-11-01,0.95,3.38,3.3646517,5.151774,98.22065,96.38581,22,81.0,24269.333333333332,40.0
2018-12-01,0.93,0.83,4.3318005,9.466492,69.341675,76.25951,11,13.0,24269.333333333332,40.0
2019-01-01,0.92,-0.89,17.025623,24.722076,79.15334,74.39692,6,5.0,24424.166666666664,40.0
2019-02-01,0.92,-0.7,27.157688,48.515114,130.75397,95.52527,7,18.0,24579.0,40.0
2019-03-01,0.91,-0.12,66.47437,110.657684,341.12793,182.50328,11,24.0,24733.833333333332,40.0
2019-04-01,0.92,4.01,15.439553,109.071625,201.91866,249.7787,10,13.0,24888.666666666664,40.0
2019-05-01,0.92,-0.1,2.7601838,84.67412,112.30495,320.4369,7,38.0,25043.5,40.0
2019-06-01,0.93,-1.26,0.0019710907,18.201708,99.90465,192.71587,14,6.0,25198.333333333332,40.0
2019-07-01,0.93,-1.94,0.050591327,2.8127465,99.55578,111.77362,13,2.0,25198.333333333332,40.0
2019-08-01,0.92,-3.98,0.017082786,0.0696452,100.01397,99.47786,11,1.0,25198.333333333332,55.00000000000001
2019-09-01,0.93,-3.8,0.017082786,0.0847569,99.94067,99.51437,10,15.0,25198.333333333332,55.00000000000001
2019-10-01,0.93,-2.66,2.2477005,2.2818658,103.594986,103.543945,10,0.0,25198.333333333332,55.00000000000001
2019-11-01,0.92,-3.11,4.928384,7.1931667,116.582535,115.76778,4,2.0,25198.333333333332,55.00000000000001
2019-12-01,0.92,-0.85,11.02891,18.204994,119.10578,122.32416,17,10.0,25198.333333333332,55.00000000000001
2020-01-01,0.91,-0.57,72.083435,88.04073,277.01425,232.88898,20,21.0,25317.5,55.00000000000001
2020-02-01,0.92,0.2,12.842312,95.95466,72.54729,180.20557,7,0.0,25436.666666666664,55.00000000000001
