,rf_projected,ridge_projected
2025-05-01,31.1,38.50025909244924
2025-06-01,31.733333333333334,38.421350901199325
2025-07-01,32.86666666666667,38.56406013766938
2025-08-01,33.03333333333333,38.49443493650159
2025-09-01,33.06666666666667,38.375045776064866
2025-10-01,33.0,38.34165057110566
2025-11-01,30.766666666666666,37.767307004710545
2025-12-01,31.233333333333334,37.74305639460012
2026-01-01,31.5,38.01326304349131
2026-02-01,30.8,37.58099743929965
2026-03-01,33.43333333333333,37.36207634888529
2026-04-01,32.9,38.2629375473084
