,rf_projected,ridge_projected
2025-05-01,39.333333333333336,43.921315867923184
2025-06-01,46.0,45.38420578608877
2025-07-01,50.233333333333334,47.90922289788119
2025-08-01,48.666666666666664,45.234523907865196
2025-09-01,48.56666666666667,44.95396479453753
2025-10-01,48.666666666666664,44.9856790658706
2025-11-01,41.1,48.51992453509531
2025-12-01,38.4,45.36953502422714
2026-01-01,38.1,45.73816161797946
2026-02-01,37.833333333333336,45.947144300745514
2026-03-01,37.63333333333333,45.84853762325024
2026-04-01,39.13333333333333,44.53288948898268
