,rf_projected,ridge_projected
2025-05-01,30.52,20.112448512476547
2025-06-01,32.67333333333333,20.574140462506378
2025-07-01,32.77333333333333,19.060176053574665
2025-08-01,32.38,18.88936785396076
2025-09-01,32.806666666666665,19.000916056800374
2025-10-01,32.806666666666665,18.661304838775337
2025-11-01,32.12,19.383362225765786
2025-12-01,30.213333333333335,19.655286224519468
2026-01-01,27.886666666666667,19.11527938750799
2026-02-01,27.4,19.54158894943927
2026-03-01,26.9,19.735019949102266
2026-04-01,26.833333333333332,18.33027394463476
