,rf_projected,ridge_projected
2025-05-01,35.13333333333333,44.06396231430814
2025-06-01,35.2,42.900615539661516
2025-07-01,35.6,42.17345806312922
2025-08-01,35.63333333333333,42.28825756095857
2025-09-01,35.63333333333333,42.33929681546782
2025-10-01,35.733333333333334,43.00468535653659
2025-11-01,35.8,40.17960238511034
2025-12-01,35.43333333333333,38.832253916321854
2026-01-01,35.43333333333333,39.10169499570007
2026-02-01,35.43333333333333,39.0604905543856
2026-03-01,35.36666666666667,40.258163838404116
2026-04-01,35.36666666666667,42.220703226968325
