,wfp_price_mean,wfp_inflation_mean,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,acled_events,acled_fatalities,idp_population
2025-05-01,0.9985722002635995,3.414281083524839,0.24455908256920633,26.897386874946292,79.5211922640224,93.27379641703773,1.0565486820525631,1.001242277224287,15973.816180284353
2025-06-01,1.0085729036980493,3.405730262218639,0.0,0.0,64.84781277872672,91.48072056857777,0.0,0.0,15258.632373706787
2025-07-01,1.0142873601035265,3.4886145300237517,0.0,0.0,66.37749707177555,69.87759594424537,0.0,0.0,14543.448567129219
2025-08-01,1.0171440866633732,3.578642459866933,0.0,0.0,65.86762119713255,57.87384001150194,0.0,0.0,13828.264760551652
2025-09-01,1.0208958310641292,3.3498972462741716,0.0,0.0,65.0149510487597,57.67664080751653,0.0,0.0,13113.080953974086
2025-10-01,1.0158959973072033,3.068647973671242,0.0,0.0,63.70968981059717,54.81760930107286,0.0,0.0,12397.897147396518
2025-11-01,1.0146442970357328,2.9086546446204333,2.3668888984821606,0.0,79.62504776306301,66.07803188892957,0.0,0.0,11682.713340818951
2025-12-01,1.0121422765934038,3.036127459919791,9.59581655595752,0.0,53.04952723168027,51.9068452559149,0.0,0.0,10967.529534241385
2026-01-01,1.0058897649962435,3.3086587125672806,26.85821646440737,21.855135821839596,70.35100701559965,56.77247106984914,0.0,0.0,10252.345727663818
2026-02-01,1.014637505015636,3.4673820369639583,21.437836135114033,40.92474913751877,52.71384061069166,49.13695226228248,0.0,0.0,9537.161921086252
2026-03-01,1.0096350078247327,3.4923848474556607,30.02217532104406,61.35162397814648,89.9545168201579,61.45010678883554,0.0,0.0,8821.978114508684
2026-04-01,1.01213373956603,3.841125254861996,9.41424272206661,43.90736403455014,94.34067886377716,66.55472491344344,0.0,0.0,8106.794307931117
