date,wfp_price_mean,wfp_inflation_mean,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,acled_events,acled_fatalities,idp_population,ipc_phase_3plus_pct
2017-08-01,0.98,3.52,0.0,0.9914005,100.0,99.27938,53,147.0,74642.96484787353,60.0
2017-09-01,0.99,4.34,0.7002457,0.7125307,100.727234,100.68567,26,38.0,71842.71879645504,60.0
2017-10-01,0.98,3.72,4.958231,5.6584764,82.83911,84.05564,38,60.0,69080.3352169711,60.0
2017-11-01,0.98,2.28,20.137592,25.796068,79.00142,77.96586,22,0.0,66461.61443809676,60.0
2017-12-01,0.98,3.11,24.380836,49.47666,60.85068,66.33478,25,5.0,64173.03692647229,60.0
2018-01-01,0.98,4.04,18.541769,63.0602,47.73379,56.991543,21,13.0,61839.46305400378,60.0
2018-02-01,0.98,2.79,61.51474,104.437355,91.130356,67.84419,29,86.0,58272.226587321806,60.0
2018-03-01,0.98,3.12,88.852585,168.90909,111.703026,88.58125,24,8.0,55157.20090717845,60.0
2018-04-01,1.01,8.85,38.332924,188.70024,92.49921,99.920105,42,70.0,52183.2554617746,60.0
2018-05-01,0.99,2.6,31.0,158.18553,155.89583,113.35565,38,20.0,51345.89669298334,60.0
2018-06-01,0.98,-0.22,0.9791155,70.31204,99.31504,114.179214,53,175.0,50594.361975972046,60.0
2018-07-01,0.98,0.44,0.014742015,31.993858,100.004074,153.32825,31,47.0,49660.79054163476,60.0
2018-08-01,0.97,-0.91,0.0,0.9938575,100.0,99.32009,44,233.0,47080.326820792274,75.0
2018-09-01,0.98,-0.18,0.7002457,0.7149877,100.727234,100.72897,33,183.0,44280.08076937379,75.0
2018-10-01,0.99,0.78,21.099508,21.799755,217.11285,211.35017,24,89.0,41517.697189889856,75.0
2018-11-01,0.98,0.45,33.19779,54.997543,120.046486,151.89471,25,52.0,38898.97641101551,75.0
2018-12-01,0.98,-0.08,25.242016,79.539314,62.63427,102.94126,27,45.0,77223.42857142857,75.0
2019-01-01,0.97,-0.42,87.331696,145.77148,187.2137,126.25146,28,256.0,78157.0,75.0
2019-02-01,0.96,-1.28,137.62163,250.19533,195.40268,158.20485,20,57.0,79090.57142857142,75.0
2019-03-01,0.96,-2.26,122.57248,347.52582,151.83632,179.56036,34,237.0,80024.14285714286,75.0
2019-04-01,0.99,-2.01,122.00492,382.19904,271.10687,199.7363,35,295.0,80957.71428571429,75.0
2019-05-01,1.0,1.2,13.835381,258.41278,81.56548,182.97777,27,137.0,81891.28571428571,75.0
2019-06-01,1.02,4.13,1.4803439,137.32068,107.64061,215.76979,27,103.0,82824.85714285714,75.0
2019-07-01,1.03,5.97,0.00982801,15.325552,99.90609,84.2432,50,345.0,82824.85714285714,75.0
2019-08-01,1.03,6.02,0.0,1.490172,100.0,107.544174,22,149.0,82824.85714285714,65.0
2019-09-01,1.03,5.0,0.7002457,0.7100737,100.727234,100.64236,31,100.0,82824.85714285714,65.0
2019-10-01,1.03,4.19,13.837838,14.538084,156.7055,154.08266,18,59.0,82824.85714285714,65.0
2019-11-01,1.03,5.12,31.190416,45.7285,113.737785,128.42845,23,88.0,82824.85714285714,65.0
2019-12-01,1.03,5.87,31.347668,76.37593,75.27969,99.0893,20,54.0,82824.85714285714,65.0
2020-01-01,1.03,5.36,61.36732,123.90541,134.56778,107.941475,31,67.0,83998.61904761905,65.0
2020-02-01,1.03,6.59,53.37592,146.09091,79.97953,93.66675,30,62.0,85172.38095238095,65.0
2020-03-01,1.0,4.59,113.85135,228.59459,141.45647,118.98229,39,93.0,86346.14285714286,65.0
2020-04-01,0.92,-6.95,106.917694,274.14493,238.90144,143.99667,32,146.0,87519.90476190476,50.0
2020-05-01,0.9,-10.09,31.970516,252.73956,160.0986,179.03691,14,43.0,88693.66666666666,50.0
2020-06-01,0.99,-2.6,0.9791155,139.86734,99.31504,219.63074,33,58.0,89867.42857142857,50.0
2020-07-01,1.02,-1.64,0.012285012,32.961914,99.955086,157.34053,27,105.0,85137.6488095238,50.0
2020-08-01,1.0,-2.64,0.0,0.9914005,100.0,99.27938,40,143.0,80407.86904761904,45.0
2020-09-01,1.03,-0.1,0.7002457,0.7125307,100.727234,100.68567,48,145.0,75678.08928571429,45.0
2020-10-01,1.05,1.98,4.6953316,5.3955774,80.65214,81.98235,33,87.0,70948.30952380953,45.0
2020-11-01,0.97,-5.91,40.83661,46.232185,144.05347,129.70361,46,152.0,66218.52976190476,45.0
2020-12-01,0.97,-5.8,46.076164,91.60811,105.78389,117.63712,23,41.0,61488.75,45.0
2021-01-01,0.95,-7.24,17.945946,104.85873,46.525684,91.99236,25,59.0,48796.833333333336,45.0
2021-02-01,0.96,-6.42,34.45086,98.47298,54.05074,64.14665,31,96.0,36104.91666666667,45.0
2021-03-01,0.97,-3.6,82.56634,134.96315,104.22115,71.290764,36,55.0,23413.0,40.0
2021-04-01,0.97,5.29,16.12285,133.14006,45.0892,71.25943,35,83.0,23522.083333333332,40.0
2021-05-01,0.98,8.42,28.799755,127.488945,146.36781,92.03249,32,110.0,23631.166666666668,40.0
2021-06-01,0.98,-0.45,0.9791155,45.90172,99.31504,77.171165,55,257.0,23740.25,40.0
2021-07-01,1.02,0.13,0.035626538,29.814499,100.420555,144.29546,32,430.0,23787.375,40.0
2021-08-01,0.96,-4.65,0.0,1.0147419,100.0,99.66615,8,107.0,23834.5,40.0
2021-09-01,0.93,-9.83,0.6941032,0.7297297,100.6187,100.98881,1,0.0,23881.625,60.0
2021-10-01,0.93,-11.0,4.6683044,5.3624077,80.42731,81.72077,0,0.0,23928.75,60.0
2021-11-01,0.95,-1.75,17.714987,23.077394,71.38776,71.08304,6,4.0,23975.875,60.0
2021-12-01,0.96,-1.26,28.534397,50.917686,69.453125,68.08947,4,2.0,24023.0,60.0
2022-01-01,0.92,-3.23,48.051598,94.30098,107.568535,83.15162,4,4.0,26536.5625,60.0
2022-02-01,0.96,0.29,39.502457,116.08844,60.971813,75.06712,3,2.0,29050.125,60.0
2022-03-01,1.03,6.39,57.509827,145.06387,74.39898,76.4356,2,4.0,31563.6875,55.00000000000001
2022-04-01,1.08,11.06,20.964375,117.976654,55.424004,63.4374,3,16.0,34077.25,55.00000000000001
2022-05-01,1.13,15.55,15.592137,94.06634,89.173004,68.81571,2,2.0,34349.625,55.00000000000001
2022-06-01,1.13,15.17,0.9791155,37.53563,99.31504,64.487495,3,0.0,34622.0,55.00000000000001
2022-07-01,1.13,10.55,0.012285012,16.583536,99.955086,89.45716,0,0.0,34894.375,55.00000000000001
2022-08-01,1.1,14.64,0.0,0.9914005,100.0,99.27938,3,0.0,35166.75,55.00000000000001
2022-09-01,1.11,18.96,0.6941032,0.7063882,100.6187,100.5774,5,6.0,35439.125,50.0
2022-10-01,1.1,17.7,5.3796067,6.07371,86.344376,87.33029,5,8.0,35711.5,50.0
2022-11-01,1.04,8.94,25.294842,31.36855,95.20942,92.073616,2,0.0,35983.875,50.0
2022-12-01,0.94,-1.8,32.800983,63.475426,78.28966,83.3807,2,4.0,36256.25,50.0
2023-01-01,1.06,14.92,23.583538,81.67937,57.95659,72.582664,3,2.0,35264.59,50.0
2023-02-01,1.1,14.06,59.149876,115.5344,87.8903,74.723656,0,0.0,34272.93,50.0
2023-03-01,1.16,12.31,35.124077,117.85748,47.755535,62.577927,5,4.0,33281.27,50.0
2023-04-01,1.15,6.76,12.264128,106.53808,36.852306,57.536823,8,4.0,32289.61,45.0
2023-05-01,1.16,2.26,12.687961,60.07616,76.59666,45.20468,3,2.0,31297.95,45.0
2023-06-01,1.14,0.64,0.9791155,25.931206,99.31504,46.894238,0,0.0,30306.29,45.0
2023-07-01,1.13,0.23,0.012285012,13.679361,99.955086,77.42024,2,0.0,29314.63,45.0
2023-08-01,1.13,3.21,0.0,0.9914005,100.0,99.27938,1,1.0,28322.97,45.0
2023-09-01,1.11,0.49,0.6941032,0.7063882,100.6187,100.5774,3,1.0,27331.309999999998,45.0
2023-10-01,1.12,1.96,6.867322,7.561425,98.72018,99.06282,0,0.0,26339.65,50.0
2023-11-01,1.09,5.15,33.09828,40.659706,119.733765,115.59586,0,0.0,25347.989999999998,50.0
2023-12-01,1.09,15.37,20.679361,60.644962,53.18455,79.93411,0,0.0,24356.33,50.0
2024-01-01,1.07,0.53,22.75307,76.530716,56.272717,68.27135,2,0.0,23364.67,50.0
2024-02-01,1.02,-7.61,66.2887,109.72113,97.671036,71.1198,2,2.0,22373.010000000002,50.0
2024-03-01,1.03,-11.01,107.2371,196.27887,133.5842,102.522156,0,0.0,21381.35,50.0
2024-04-01,1.04,-9.5,48.825554,222.35135,114.89695,117.27901,2,0.0,20389.690000000002,50.0
2024-05-01,1.06,-8.25,46.045456,202.10811,221.04929,143.86615,1,1.0,19398.03,50.0
2024-06-01,1.09,-4.18,0.9791155,95.85012,99.31504,152.89702,0,0.0,18406.37,50.0
