,rf_projected,ridge_projected
2025-05-01,29.246666666666666,30.74200714687975
2025-06-01,29.16,27.48115595418963
2025-07-01,28.466666666666665,25.96456396697954
2025-08-01,28.6,25.546438598564496
2025-09-01,28.393333333333334,25.25595007428978
2025-10-01,29.1,26.247622680189117
2025-11-01,28.993333333333332,24.542230528908647
2025-12-01,28.4,23.900853690724162
2026-01-01,28.3,25.110676511917724
2026-02-01,27.96,24.120696831875875
2026-03-01,27.72,26.726652141547913
2026-04-01,27.626666666666665,29.42588889418321
