,rf_projected,ridge_projected
2025-05-01,26.533333333333335,30.85524006439375
2025-06-01,27.833333333333332,32.30478594368307
2025-07-01,28.566666666666666,32.25103980671724
2025-08-01,29.133333333333333,30.994384245824616
2025-09-01,28.6,30.89127697638563
2025-10-01,29.033333333333335,32.06450822796196
2025-11-01,27.933333333333334,31.143628286397238
2025-12-01,32.666666666666664,30.63792902613279
2026-01-01,31.233333333333334,29.863042406568404
2026-02-01,31.733333333333334,28.122267379224425
2026-03-01,31.166666666666668,27.3762603249015
2026-04-01,33.1,28.86749754592158
