,rf_projected,ridge_projected
2025-05-01,27.593333333333334,30.42200081261675
2025-06-01,26.326666666666668,29.24197537488536
2025-07-01,26.06,27.361024010243057
2025-08-01,26.093333333333334,27.313030303594623
2025-09-01,26.126666666666665,27.16383333346288
2025-10-01,26.06,27.384829467103913
2025-11-01,26.026666666666667,26.567010294482483
2025-12-01,25.866666666666667,25.89199982366366
2026-01-01,25.266666666666666,27.203115710726134
2026-02-01,25.333333333333332,26.917929609034307
2026-03-01,26.7,28.62876903087244
2026-04-01,27.4,30.161193323421234
