,rf_projected,ridge_projected
2025-05-01,43.72666666666667,52.12469806836572
2025-06-01,45.56666666666667,51.261533438966374
2025-07-01,46.06666666666667,50.504260711368424
2025-08-01,45.43333333333333,49.20706704747741
2025-09-01,48.5,48.03897628712518
2025-10-01,45.846666666666664,47.407336306144124
2025-11-01,45.7,47.785849861009424
2025-12-01,42.873333333333335,46.989494032194614
2026-01-01,42.46,48.078708835664756
2026-02-01,42.22,47.79548289012185
2026-03-01,42.98,50.33411863603975
2026-04-01,42.86,51.387892383329444
