,rf_projected,ridge_projected
2025-05-01,27.046666666666667,27.571139890214916
2025-06-01,30.44,27.37304207367964
2025-07-01,30.44,26.588873124262392
2025-08-01,26.986666666666668,25.90971580111475
2025-09-01,26.966666666666665,25.72244553736447
2025-10-01,26.44,25.32957605476337
2025-11-01,26.64666666666667,25.12048833537365
2025-12-01,26.94,25.468870903354464
2026-01-01,27.30666666666667,25.241857826788607
2026-02-01,28.5,25.545037166714852
2026-03-01,28.62,25.82744186348262
2026-04-01,26.626666666666665,26.371656434892536
