date,ipc_actual,rf_fitted,ridge_fitted
2017-08-01,15.0,14.133333333333333,12.100097287943576
2017-09-01,15.0,14.133333333333333,15.669888276791195
2017-10-01,15.0,14.5,13.225630488249193
2017-11-01,15.0,14.533333333333333,14.680571638918531
2017-12-01,15.0,14.866666666666667,12.669651255562236
2018-01-01,15.0,14.3,12.774129309911562
2018-02-01,15.0,14.466666666666667,14.13022803352187
2018-03-01,15.0,14.833333333333334,13.765210322284691
2018-04-01,15.0,14.066666666666666,14.814863693355312
2018-05-01,15.0,14.7,15.422128061580052
2018-06-01,15.0,14.733333333333333,16.01035781606533
2018-07-01,15.0,14.133333333333333,15.695333640341778
2018-08-01,10.0,10.933333333333334,12.96797908581854
2018-09-01,10.0,10.633333333333333,13.417332696376759
2018-10-01,10.0,10.133333333333333,15.152211852868223
2018-11-01,10.0,11.433333333333334,13.56513785567553
2018-12-01,10.0,10.3,14.972125619562677
2019-01-01,10.0,10.266666666666667,14.811444449876095
2019-02-01,10.0,10.333333333333334,15.04974861967904
2019-03-01,10.0,10.566666666666666,15.791746503307543
2019-04-01,10.0,11.4,15.692144546132786
2019-05-01,10.0,11.833333333333334,14.051843154739814
2019-06-01,10.0,11.4,13.296751752697082
2019-07-01,10.0,10.766666666666667,15.703968083228636
2019-08-01,15.0,14.333333333333334,11.382157615143296
2019-09-01,15.0,14.4,13.481261317240998
2019-10-01,15.0,14.566666666666666,11.274851693392165
2019-11-01,15.0,13.933333333333334,13.203311512510213
2019-12-01,15.0,14.6,14.500720231384252
2020-01-01,15.0,14.8,14.815590794445804
2020-02-01,15.0,14.266666666666667,16.235078341794456
2020-03-01,15.0,16.066666666666666,19.034638628304315
2020-04-01,30.0,25.6,22.890685966155647
2020-05-01,30.0,32.06666666666667,28.70648749914362
2020-06-01,30.0,28.333333333333332,26.592390241405568
2020-07-01,30.0,28.566666666666666,26.276697674051412
2020-08-01,25.0,25.233333333333334,24.44306245458191
2020-09-01,25.0,25.0,24.365357696930385
2020-10-01,25.0,24.9,22.491934677681762
2020-11-01,25.0,25.1,26.84086556005392
2020-12-01,25.0,25.2,26.747368882738122
2021-01-01,25.0,25.1,26.699930706931276
2021-02-01,25.0,27.7,26.250815805233223
2021-03-01,35.0,35.3,27.91134979254394
2021-04-01,35.0,32.4,29.370083719283276
2021-05-01,35.0,37.233333333333334,29.376273479433937
2021-06-01,35.0,34.96666666666667,41.74513721481465
2021-07-01,35.0,35.666666666666664,32.476391840604194
2021-08-01,35.0,35.666666666666664,34.33427022663505
2021-09-01,50.0,46.1,36.38109211413952
2021-10-01,50.0,47.2,37.164236768455645
2021-11-01,50.0,45.0,36.66089566487911
2021-12-01,50.0,44.96666666666667,38.74494602672442
2022-01-01,50.0,47.266666666666666,37.63416126448118
2022-02-01,50.0,44.93333333333333,37.57216388109704
2022-03-01,35.0,35.43333333333333,35.13518566532629
2022-04-01,35.0,35.666666666666664,32.989780667852685
2022-05-01,35.0,35.7,35.03647068505257
2022-06-01,35.0,37.1,37.24477469598684
2022-07-01,35.0,36.9,38.23466705800429
2022-08-01,35.0,35.3,38.90506742546047
2022-09-01,35.0,35.3,40.05663437678315
2022-10-01,35.0,35.2,40.32298273381531
2022-11-01,35.0,35.06666666666667,42.40197142090382
2022-12-01,35.0,35.2,42.891480920100705
2023-01-01,35.0,35.53333333333333,43.5129807242252
2023-02-01,35.0,35.1,42.65269496365512
2023-03-01,35.0,35.766666666666666,40.615037656909436
2023-04-01,35.0,35.766666666666666,40.746567872120295
2023-05-01,35.0,35.13333333333333,37.072890360575684
2023-06-01,35.0,34.93333333333333,36.500348828239396
2023-07-01,35.0,35.0,36.340064213513884
2023-08-01,35.0,35.2,35.52046132286502
2023-09-01,35.0,33.733333333333334,34.2343300035791
2023-10-01,25.0,28.666666666666668,31.847308581584347
2023-11-01,25.0,25.5,30.507239182245282
2023-12-01,25.0,25.1,29.046162393523794
2024-01-01,25.0,25.266666666666666,28.55584423097503
2024-02-01,25.0,26.366666666666667,28.36593515604065
2024-03-01,30.0,30.966666666666665,29.36920318701178
2024-04-01,30.0,29.2,28.920486274330276
2024-05-01,30.0,29.566666666666666,27.153908761883184
2024-06-01,30.0,29.933333333333334,25.95189144359076
2024-07-01,30.0,27.466666666666665,23.261197385235302
2024-08-01,30.0,28.066666666666666,22.393920927147544
2024-09-01,20.0,22.266666666666666,21.742122870560976
2024-10-01,20.0,21.066666666666666,21.49728476453611
2024-11-01,20.0,20.766666666666666,21.544184310297933
2024-12-01,20.0,20.466666666666665,20.824460697079466
2025-01-01,20.0,20.933333333333334,20.554764963555083
2025-02-01,20.0,21.0,20.470673405425728
2025-03-01,25.0,24.333333333333332,20.18917518475361
2025-04-01,25.0,25.033333333333335,21.35511134855068
