,rf_projected,ridge_projected
2025-05-01,21.733333333333334,29.07173080560243
2025-06-01,21.333333333333332,27.891906944225017
2025-07-01,21.566666666666666,28.006725209759097
2025-08-01,21.54,28.41066710192986
2025-09-01,21.373333333333335,28.034497695366667
2025-10-01,21.533333333333335,28.05094430159264
2025-11-01,21.366666666666667,27.5158102295512
2025-12-01,20.933333333333334,26.955211172065386
2026-01-01,20.84,26.665222000734985
2026-02-01,20.873333333333335,24.176457141216616
2026-03-01,21.573333333333334,24.64296874725933
2026-04-01,21.533333333333335,26.94579926235835
