,rf_projected,ridge_projected
2025-05-01,27.9,31.22287891185272
2025-06-01,29.233333333333334,30.619690167153244
2025-07-01,29.3,30.29335228223338
2025-08-01,29.266666666666666,30.09946370784364
2025-09-01,29.266666666666666,29.959352926410723
2025-10-01,29.2,30.03388480228335
2025-11-01,27.433333333333334,29.929225492843997
2025-12-01,27.366666666666667,29.339522778965723
2026-01-01,27.366666666666667,30.007607971127616
2026-02-01,27.933333333333334,28.981367027305012
2026-03-01,29.266666666666666,29.318989082737957
2026-04-01,29.566666666666666,29.38039473412684
