,rf_projected,ridge_projected
2025-05-01,30.72,35.77868426003298
2025-06-01,27.94,36.64040587876736
2025-07-01,28.36,36.31207124502644
2025-08-01,27.96,36.50902527678514
2025-09-01,29.566666666666666,36.64969521254652
2025-10-01,27.78,35.97881603483596
2025-11-01,27.98,36.458937619917386
2025-12-01,30.153333333333332,36.5346566899777
2026-01-01,29.153333333333332,35.82700149316419
2026-02-01,28.826666666666668,36.44411206044413
2026-03-01,29.36,37.294911315364395
2026-04-01,29.833333333333332,36.644683505559684
