,rf_projected,ridge_projected
2025-05-01,20.22,30.773188093329836
2025-06-01,19.493333333333332,30.781325441664258
2025-07-01,18.72,31.989331380199253
2025-08-01,18.54,32.121749074352124
2025-09-01,19.006666666666668,32.48629438164144
2025-10-01,18.84,33.32283331410314
2025-11-01,18.626666666666665,32.56066435411023
2025-12-01,18.96,32.45360349983692
2026-01-01,18.793333333333333,32.92072435843022
2026-02-01,18.946666666666665,31.810238363934992
2026-03-01,18.946666666666665,31.940862268642757
2026-04-01,19.746666666666666,33.292651758739694
