,wfp_price_mean,wfp_inflation_mean,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,acled_events,acled_fatalities,idp_population
2025-05-01,1.1471462731406687,-16.286348548150965,0.4699010292058503,15.71298214038384,95.4253991588507,95.69598327813105,1.5010381317809403,0.9141743057736677,14218.912536103424
2025-06-01,1.1571501121918204,-22.671628174661663,0.0,0.0,83.68317543621652,93.60849022358175,1.3918500050676355,0.8200008466347554,13596.158416250419
2025-07-01,1.1528661020546893,-28.943206422135138,0.0,0.0,84.19013493815048,77.36641826293078,1.2826618783543307,0.725827387495843,12973.404296397415
2025-08-01,1.158580240571784,-34.37252872633654,0.0,0.0,84.0674877403966,65.98711972722869,1.1734737516410256,0.6316539283569307,12350.650176544412
2025-09-01,1.161080221076821,-40.062831618677336,0.0,0.0,83.9680317275106,66.02648230812397,1.0642856249277208,0.5374804692180183,11727.896056691407
2025-10-01,1.1610804305763922,-45.83363405991972,0.0,0.0,81.98208407162463,63.70691021666315,0.955097498214416,0.4433070100791059,11105.141936838403
2025-11-01,1.1573305684190056,-51.717384513818914,1.0407103356388072,0.0,84.63566095881934,64.8520885427107,0.8459093715011111,0.3491335509401936,10482.3878169854
2025-12-01,1.1560785298157212,-57.09295412293734,3.8974702852953707,0.0,68.9086907309462,54.549533521610854,0.7367212447878063,0.2549600918012812,9859.633697132394
2026-01-01,1.1698260900307798,-62.24654557212869,21.23326238191395,18.07585065257275,87.38038347084172,62.77044091223247,0.6275331180745015,0.1607866326623688,9236.87957727939
2026-02-01,1.1848225420961973,-67.73431375217594,12.941362957091044,29.974226256335953,67.2377184758978,56.188583726860784,0.5183449913611966,0.06661317352345653,8614.125457426386
2026-03-01,1.1810702714092696,-73.47518407915715,17.265232789065944,43.34371100578794,102.34881275625165,66.79302822234055,0.4091568646478918,0.0,7991.371337573382
2026-04-01,1.1798207610868081,-78.72273957363903,4.625799281803298,26.735491641179323,104.0665250252016,69.58174748432671,0.299968737934587,0.0,7368.617217720378
