date,ipc_actual,rf_fitted,ridge_fitted
2017-08-01,32.0,29.233333333333334,18.379954998179024
2017-09-01,32.0,30.333333333333332,18.582119066516178
2017-10-01,32.0,29.233333333333334,23.37293185147394
2017-11-01,32.0,30.98,21.631447642459154
2017-12-01,32.0,31.82,25.908230400727415
2018-01-01,32.0,31.1,22.995311948580422
2018-02-01,32.0,31.84,23.124229211861483
2018-03-01,32.0,31.886666666666667,21.301680735886006
2018-04-01,32.0,30.3,18.67401213346261
2018-05-01,32.0,31.093333333333334,24.359382607322434
2018-06-01,32.0,31.546666666666667,24.657551197088498
2018-07-01,32.0,31.546666666666667,19.153290633157106
2018-08-01,15.0,21.946666666666665,24.442601416660874
2018-09-01,15.0,15.7,23.144247621560027
2018-10-01,15.0,15.44,22.38876925073642
2018-11-01,15.0,15.0,19.220884958130092
2018-12-01,15.0,15.0,20.850856068158517
2019-01-01,15.0,15.0,21.759934047065094
2019-02-01,15.0,16.3,20.84764798851435
2019-03-01,15.0,15.793333333333333,17.65948157497277
2019-04-01,15.0,15.0,20.92696873722649
2019-05-01,15.0,15.453333333333333,24.797426550450886
2019-06-01,15.0,16.093333333333334,27.86494801585451
2019-07-01,15.0,15.393333333333333,21.928610371796804
2019-08-01,15.0,15.52,19.389259675693907
2019-09-01,15.0,15.033333333333333,19.627023085293285
2019-10-01,15.0,15.0,21.841781964428012
2019-11-01,15.0,15.34,15.874282302828451
2019-12-01,15.0,15.86,20.300280971590954
2020-01-01,15.0,17.286666666666665,18.14638017677106
2020-02-01,15.0,16.233333333333334,24.322702887901983
2020-03-01,15.0,15.246666666666666,18.76979296830406
2020-04-01,15.0,15.133333333333333,24.884465363018215
2020-05-01,15.0,15.266666666666667,26.74721864816785
2020-06-01,15.0,15.1,20.246414821823976
2020-07-01,15.0,15.0,25.25110958481826
2020-08-01,15.0,15.0,25.53166555501067
2020-09-01,15.0,15.066666666666666,29.403299715903675
2020-10-01,15.0,15.133333333333333,26.236211995054337
2020-11-01,15.0,15.1,27.905190182023425
2020-12-01,15.0,15.113333333333333,22.237997891930554
2021-01-01,15.0,15.033333333333333,22.45685712479734
2021-02-01,15.0,15.7,26.248391597241596
2021-03-01,20.0,18.166666666666668,23.705857255710566
2021-04-01,20.0,27.2,30.65121681118
2021-05-01,20.0,26.1,25.999692980943585
2021-06-01,20.0,22.0,22.678487137633063
2021-07-01,20.0,21.833333333333332,14.140585912773933
2021-08-01,20.0,23.1,25.889916418762837
2021-09-01,40.0,38.166666666666664,32.62222722977748
2021-10-01,40.0,39.13333333333333,33.320282078461034
2021-11-01,40.0,38.9,32.81189116369349
2021-12-01,40.0,39.6,33.22972093113347
2022-01-01,40.0,39.36666666666667,29.093276055902017
2022-02-01,40.0,35.666666666666664,25.301293102736828
2022-03-01,45.0,40.96666666666667,25.517253908840765
2022-04-01,45.0,40.0,29.351414416107744
2022-05-01,45.0,39.766666666666666,30.503953505979815
2022-06-01,45.0,40.5,28.362192533488837
2022-07-01,45.0,44.0,29.325714816663236
2022-08-01,45.0,42.03333333333333,28.89109003411079
2022-09-01,35.0,36.2,26.86472877960627
2022-10-01,35.0,35.1,30.512358389135425
2022-11-01,35.0,35.36666666666667,29.637617300964084
2022-12-01,35.0,35.2,31.643533818371
2023-01-01,35.0,35.06666666666667,31.210664514516917
2023-02-01,35.0,34.9,31.320042338511158
2023-03-01,35.0,34.63333333333333,34.693055151626496
2023-04-01,35.0,34.666666666666664,35.16673419304494
2023-05-01,35.0,34.86666666666667,37.25953225256436
2023-06-01,35.0,34.63333333333333,39.345800148385514
2023-07-01,35.0,35.36666666666667,31.248453489562547
2023-08-01,35.0,34.86666666666667,33.929492182173874
2023-09-01,35.0,33.63333333333333,35.85398182085433
2023-10-01,30.0,30.9,34.14970665075789
2023-11-01,30.0,30.9,32.96018504701524
2023-12-01,30.0,30.633333333333333,31.669968004456653
2024-01-01,30.0,28.1,30.102712046964665
2024-02-01,30.0,29.766666666666666,27.356844599212646
2024-03-01,30.0,29.5,27.047665533347313
2024-04-01,30.0,29.566666666666666,26.502259308024044
2024-05-01,30.0,29.366666666666667,25.33112319652898
2024-06-01,30.0,29.266666666666666,23.775447004377288
2024-07-01,30.0,27.6,28.203452604931094
2024-08-01,30.0,27.933333333333334,26.844154836218483
2024-09-01,20.0,21.793333333333333,26.879306151250994
2024-10-01,20.0,21.366666666666667,26.228212529092886
2024-11-01,20.0,20.246666666666666,26.72136740330014
2024-12-01,20.0,20.733333333333334,28.751309860328924
2025-01-01,20.0,20.38,29.793940555680344
2025-02-01,20.0,20.713333333333335,28.16363688333493
2025-03-01,25.0,23.98,28.99005813220512
2025-04-01,25.0,23.973333333333333,31.053743439313727
