,rf_projected,ridge_projected
2025-05-01,31.7,30.42902459936319
2025-06-01,30.066666666666666,29.68383537774587
2025-07-01,28.2,27.957606016167183
2025-08-01,30.4,27.164371351575383
2025-09-01,28.9,27.136179297126603
2025-10-01,31.933333333333334,29.420861899401636
2025-11-01,32.53333333333333,26.964074622517224
2025-12-01,29.333333333333332,26.966321666060992
2026-01-01,29.566666666666666,28.164465384459888
2026-02-01,29.733333333333334,25.97296396440391
2026-03-01,31.233333333333334,28.221186392429026
2026-04-01,31.8,30.166791236323053
