,rf_projected,ridge_projected
2025-05-01,21.3,24.35690880031614
2025-06-01,21.8,26.22853385577078
2025-07-01,21.833333333333332,25.48498061992636
2025-08-01,22.1,22.6128149159831
2025-09-01,22.2,22.55532581899346
2025-10-01,22.2,22.470391845070424
2025-11-01,21.033333333333335,23.712407799765685
2025-12-01,21.733333333333334,22.471498765423327
2026-01-01,21.566666666666666,24.92687268851188
2026-02-01,21.466666666666665,23.771356212251952
2026-03-01,23.466666666666665,25.43681506208468
2026-04-01,21.2,23.38462657437924
