,rf_projected,ridge_projected
2025-05-01,36.7,36.184460173540806
2025-06-01,36.13333333333333,35.23397838063005
2025-07-01,35.8,34.086180958159474
2025-08-01,35.13333333333333,33.03593321269503
2025-09-01,35.2,32.31421265650884
2025-10-01,35.2,31.54657452149488
2025-11-01,35.333333333333336,30.89123529042593
2025-12-01,35.333333333333336,29.914022486419185
2026-01-01,34.2,29.199176956096125
2026-02-01,34.333333333333336,28.32026816250534
2026-03-01,35.86666666666667,27.93420439695604
2026-04-01,35.766666666666666,27.445533901131064
