,wfp_price_mean,wfp_inflation_mean,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,acled_events,acled_fatalities,idp_population
2025-05-01,1.2757138726543995,14.839953833263946,18.749508349581966,78.67790816948317,88.49017645339246,68.21204130988569,1.6465627748811977,1.1182788846700185,5430.452459457591
2025-06-01,1.3028553147860045,15.192869760667621,0.0,22.62533612755934,77.67713149397476,66.89953068666918,1.653456010863954,1.1175925310254966,5426.904919099986
2025-07-01,1.3099970084913755,15.502875325393001,0.0,0.0,83.10351901967495,80.29940358058026,1.6603492468467103,1.1169061773809748,5423.35737874238
2025-08-01,1.3057111928419642,15.375702631218127,0.0,0.0,76.2169209399699,73.56966655951892,1.6672424828294665,1.116219823736453,5419.809838384775
2025-09-01,1.3144611278951552,15.50825525726314,0.0,0.0,75.21376476210654,73.40754108409165,1.6741357188122228,1.1155334700919308,5416.262298027169
2025-10-01,1.2969614300026489,15.45828966933688,0.0,0.0,72.35352549711372,62.56514488351428,1.681028954794979,1.114847116447409,5412.714757669563
2025-11-01,1.2819610844147165,15.335622273445951,13.45206353506497,0.0,82.86612558940963,70.18543684813686,1.6879221907777353,1.1141607628028871,5409.167217311958
2025-12-01,1.2682109336140852,15.45798740836301,15.21528015455887,2.622713971386279,70.09206625469724,65.64963076244442,1.6948154267604916,1.1134744091583653,5405.619676954352
2026-01-01,1.2519623062912546,15.70417650527347,24.792664870816033,31.389501822581845,87.54336258410271,71.86175395705935,1.7017086627432478,1.1127880555138434,5402.0721365967465
2026-02-01,1.2544620633602386,15.710396400365905,44.67431433481743,62.60866592137596,76.89285346991606,68.80386160826488,1.708601898726004,1.1121017018693216,5398.52459623914
2026-03-01,1.2557144108250435,15.55913743458035,45.51916230428137,92.90464631647218,75.76902758057017,69.64747797105522,1.7154951347087604,1.1114153482247997,5394.977055881534
2026-04-01,1.2694645654606211,15.628087075727572,31.48584977739016,99.59595372052645,61.53230912126409,61.965707318899845,1.7223883706915166,1.1107289945802779,5391.429515523929
