,rf_projected,ridge_projected
2025-05-01,25.333333333333332,39.20187112375501
2025-06-01,25.166666666666668,40.24517280964205
2025-07-01,25.166666666666668,40.62087872662374
2025-08-01,25.166666666666668,39.538431384638116
2025-09-01,25.166666666666668,39.150894319635995
2025-10-01,25.333333333333332,39.746353405124694
2025-11-01,25.333333333333332,39.46854997279757
2025-12-01,25.166666666666668,38.32274362615855
2026-01-01,25.166666666666668,38.39140392990987
2026-02-01,25.166666666666668,39.00814313554472
2026-03-01,25.166666666666668,39.28878840764738
2026-04-01,25.333333333333332,37.577159671902606
