,rf_projected,ridge_projected
2025-05-01,16.013333333333332,23.792137186383883
2025-06-01,16.373333333333335,23.778297448982023
2025-07-01,16.166666666666668,24.250289524539824
2025-08-01,16.046666666666667,24.33926913355667
2025-09-01,16.4,24.13715355639896
2025-10-01,16.76,23.14083896326079
2025-11-01,16.6,23.291964182799667
2025-12-01,16.0,23.571130414456256
2026-01-01,16.426666666666666,23.621564878658756
2026-02-01,16.42,23.06629026064708
2026-03-01,16.673333333333332,22.616534740668868
2026-04-01,17.08,22.31069142766079
