country,adm1_pcode,region_name,stat_mean,stat_var,stat_skew,stat_kurt,hurst_exponent,approx_entropy,ar1_coeff,ar2_coeff,ar3_coeff
AFG,AF01,Kabul,28.763440860215052,118.89995324918185,0.40295677929853463,-1.069801112599834,0.25274832125643315,0.41195784581782213,0.965193977203163,0.002134886020172814,-0.028651660892249478
AFG,AF02,Kapisa,26.172043010752688,99.83964469378216,0.24268959249842964,-1.2742760717171515,0.2746934000796401,0.24651195916396063,0.9689100169172397,0.0006782897269253397,-0.028706650492909585
AFG,AF03,Parwan,25.43010752688172,123.18256194483406,0.3584774337760355,-0.5597446382369706,0.2104018638759132,0.4017020243467275,0.967676122833889,0.00124401960332153,-0.025766376759529235
AFG,AF04,Maidan Wardak,34.46236559139785,73.62085086489013,0.3945961297104742,-1.004707347497022,0.13899700666115974,0.4829245825037489,0.9221607195809036,3.993691767376281e-17,-0.07783928041909675
AFG,AF05,Logar,27.440860215053764,81.4448340345956,0.266855507765554,-0.8448027992616605,0.18987672529496713,0.456490856684705,0.9492538750980235,0.002506569789746338,-0.04095540298869232
AFG,AF06,Nangarhar,38.145833333333336,73.55745614035088,-0.2565522078534604,-1.3596564066385912,0.21099778978546083,0.3780360036170909,0.9380764153080432,0.005362062534999987,-0.05378828572624284
AFG,AF07,Laghman,38.989583333333336,59.10515350877193,-0.14165423353257162,-0.9155883853926805,0.20054677372046031,0.46291049528638384,0.9249609109981024,0.007112706156929047,-0.0712933876984108
AFG,AF08,Panjsher,28.870967741935484,126.15708274894813,0.15930586700347385,-1.4849628444678318,0.16320929888343538,0.3305964158908141,0.9320089346344407,-0.00016205040576402,-0.05101133282109202
AFG,AF09,Baghlan,28.623655913978496,72.95465170640487,-0.34356184048875654,-0.9583101809130099,0.16002646227105052,0.4049660591809747,0.8938061646467629,-0.0010781626865268203,-0.08651634098253694
AFG,AF10,Bamyan,40.88172043010753,82.49672744273025,-0.27245227997702964,-0.49953766908031083,0.12167796336172856,0.39371601934673617,0.9136385041808246,0.008794243723034993,-0.09768093905856126
AFG,AF11,Ghazni,29.827956989247312,109.73094904160826,0.43301720711522107,0.2629402060382362,0.09945762797019395,0.41479507020989814,0.9033271970051753,0.0035770213371938715,-0.10507807382646807
AFG,AF12,Paktika,36.02150537634409,104.65170640486207,-0.5471231686404081,-0.6127637306531453,0.17402549837637643,0.32862594370117426,0.9383852945677886,-0.0021147180221629917,-0.06359992926347803
AFG,AF13,Paktya,26.978494623655912,119.60822814399253,0.46555017382546093,-1.3280054965077128,0.1914262310388148,0.4420840081748354,0.9315037281485626,-9.361544207335756e-17,-0.07086584620050893
AFG,AF14,Khost,23.978494623655912,83.45605423094902,0.2987389471971835,-1.5053935002312613,0.12858348943597833,0.3853696004335918,0.9121072853089898,1.9000059555953662e-16,-0.08059798368945038
AFG,AF15,Kunar,37.322916666666664,38.36831140350878,-0.4279689894662956,-0.3609907765929439,0.11603366915061707,0.34857836498826966,0.8811324084952663,-5.139941363996356e-16,-0.06757310869915567
AFG,AF16,Nuristan,42.28125,143.86743421052634,-0.018160008219272834,-1.305178396007465,0.26264702950197916,0.4037743072300648,0.9460773208409201,1.0174388922330561e-16,-0.04282191134335
