,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01
Kabul,,,,-0.293339495938378,-0.20332313466801577,-0.20155530677063035,-0.19391849622609433,-0.18675989378659621,-0.17074709431366814,-0.13340783980472762,0.04238906502524747,0.15108209160848005,0.06553093280765902,0.11369534763635901,0.15662016897835795,-0.24604398238403477,-0.36456843293746044,-0.3240518300674148,-0.2845187715810783,-0.26283453288720254,-0.2765741884644232,-0.3429071783916418,-0.5753595473268971,-0.6139751700283885,-0.6051269216866747,-0.657862839040473,-0.7129178456738882,1.0589537666002586,0.5053724818734907,0.3601962314542912,0.24838241003376765,0.21222930750708408,0.24222237829455728,0.2748121787320809,-0.056858509321563944,2.0772668004930988,2.594362382178307,2.8144934880778285,3.0236263437289317,-0.17292706465411303,-0.773246258551081,-0.6922952506253195,-0.6373968607172589,-0.6639792605689059,-0.8185520455922872,-1.105912488903893,-0.03787863156472758,-0.2579163316278098,0.16114380664113345,0.04623087264386031,-0.05312281374792836,-0.3517501533687273,0.6854445313022499,0.5504654066459981,0.34671528774039906,0.2168206424933015,0.16417464064305287,0.1241827185021941,0.4829418563263498,-0.07230918104680678,1.83320565695076,1.9797846456158146,2.162693681716073,2.253676487162128,-0.42169889471154887,-0.15784819873159808,-0.1294445970833626,-0.1066918880350835,-0.10836303588532135,-0.1370127235619989,-0.845395114762946,-2.005882943600121,0.4629250783005785,0.5745941867444548,0.7079870466927891,0.865829278204714,0.15459639521888732,-0.47020090652667096,-0.3834097398155349,-0.2789591246816462,-0.1729439247140571,-0.08032853352739465,-3.7003248188098263,-3.8320760501675384,-0.5141230798695343,-0.5262855895756072,-0.5152735311996842,-0.41398342731379295,-0.23132973538381646,0.09660574389756563,0.035271238300526975,-0.03788900590661703,-0.11123023167437787,-0.16622193423799317,0.03773832837577378,-0.19340852310422013
Kapisa,,,,-0.020553259043234563,-0.1635128564214172,-0.1587386535806829,-0.15727823245227865,-0.05724709722342246,-0.02765918497597951,0.0008941490524470488,0.30732128757513016,0.4343050923687849,0.5872883199874263,0.7495446926857637,0.8776568935536082,-1.012861525988285,-0.8258489030867152,-0.6736375936470261,-0.5361091893350084,-0.4467780319099212,-0.39122904703529066,-0.39091574132141466,-0.6287297999058449,-0.6876481295484441,-0.7959099057128721,-1.1663394695561702,-1.4228079589637508,0.7181984989500211,0.8653084405652495,0.6994492886860897,0.5524725324396326,0.2858104071668885,0.20724665240025297,0.20028412355359443,-0.38431888774622985,-0.33561535649217056,-0.34057504841993064,-0.8031513067276652,-1.0308043285920405,-0.2205007555446811,0.4100651226600943,0.2621834049049223,0.10531890068588405,-0.3524267067629692,-0.4428846920641169,-0.4539266350978964,0.10601354902892465,-0.4024734479605358,-1.1736196478003944,-2.364166820670272,-3.112178411142043,-3.7602754132577867,3.9458129075868817,3.111208356962143,2.4046189067683,1.3113283098751485,0.467698427904661,-0.07891782361490468,0.5581028386391444,0.7283615307199756,0.8905654190235368,0.6853138150351026,0.7370560921590127,0.8691253307870742,-0.24972531902954284,-0.3555559414614861,-0.22661535503227156,-0.2822022618668433,-0.06560843432165764,0.2201514042556897,-0.4579541446862528,-0.3111733889708854,-0.11474984523067508,-0.27704835725816906,-0.31154479276215796,-0.3166216497423756,2.5634498956832523,0.5863671146991042,0.55266125440148,0.41405677252716766,0.4126171801441617,0.46114187657217115,-0.3563351676749565,-0.3271278797614538,-0.009842576443773945,0.04240619296649374,0.05953461069523018,0.032350573221837084,0.17397254743376386,-0.14050993453032742,-0.17149029422574222,-0.17753607459600598,-0.22763812133532643,-0.2977871877258738,0.5001288222228835,0.399315051708245
Parwan,,,,-0.2650769480985972,-0.27797129445197105,-0.28984800568516683,-0.28264905799442486,-0.2524796453139991,-0.23835251676959618,-0.30367717205222605,-0.31053514694401413,-0.33723439186216825,-0.32309003873104997,-0.31407062510148775,-0.310858392282066,-0.4344856046759738,-0.38174661533469445,-0.34538954454253434,-0.3467434327228439,-0.3931803307178466,-0.46307344224493163,-0.6095114585830765,-1.1142844411977328,-1.2867793219790036,-1.3736400034182472,-1.4785924478941217,-1.6005495316857217,-0.28406449181098414,-0.2820483326220305,-0.2929661549442367,-0.3113810860145693,-0.3450466192429438,-0.40194317012268327,-0.5625338669840062,-1.5207572748872458,0.7651350696766298,0.6329008684235655,0.48256063722487685,0.30884615593241377,-0.2895922870216075,-0.2762536000860028,-0.2662729264307608,-0.25620867193663377,-0.24587879071907007,-0.23827577324983754,-0.24660877295966305,0.09098646882801122,-0.21226796066142659,-0.22103579197690468,-0.21757769809180974,-0.20516587094429053,0.03912054287538817,2.888831181754522,3.3220538908994803,3.3622060993114897,3.4051895287827474,3.4527254309225,3.507892070152722,-0.2663509735105313,-0.31652787247308306,-0.2911471588956719,-0.2948782627355465,-0.32421117322851456,-0.22758466669827895,0.7665294337985202,0.8462942265770141,0.8588123303268804,0.8701427460066701,0.8828582362105754,0.8987444542704799,-0.20875058873512567,-0.2523220573352478,-0.2529041510336384,-0.24147571429154574,-0.22383748744657286,-0.17744286179930055,1.2428446730818867,-0.35682150761451925,-0.32601602186402656,-0.2965685358419887,-0.26725518948989546,-0.23711826383350804,-0.3129994881541959,-0.294399051030949,-0.28177592731129625,-0.28981798062303316,-0.2939883030056915,-0.3616618487739887,-0.288555941648634,-0.23024851839966387,-0.25073237763992884,-0.2730015831474001,-0.2957738957361161,-0.3184334114589169,-0.2836238699423929,-0.2787508103669623
Logar,,,,-0.026730984133873873,0.12385993424031415,0.13627101814675052,0.13729436775268153,0.1159163287009155,0.06438453116199488,-0.02285463023531585,0.030274138264510184,-0.6558078613313792,-0.7880429875133441,-0.8762386064944057,-0.8890741774994719,0.5460215839622377,0.42284683940451967,0.42008736784236334,0.4150859602736908,0.4265342179934598,0.4735359130999926,0.5716495936568105,0.8549023501645424,0.4310726088270731,0.693885067335444,1.0093178196461752,1.3446760529476987,-1.8252037398638281,-2.0108449976148473,-1.87685364513047,-1.8107535466477347,-1.7883107012243902,-1.8074499093178313,-1.8813388736829972,-2.0337024566621955,1.2884309468880437,0.9561263180235049,0.6252123464294493,0.34825122548214904,1.3546473917596848,0.5799089678377277,0.5414826282281985,0.5572597540442564,0.629164774804251,0.7441274661310071,0.889025776406114,-0.4989052846168285,-0.9461470975684648,-0.8444052266072483,-0.7371613724687306,-0.6546956759625759,-0.7151024500113199,-0.2133666300870842,0.01435189531917272,-0.05771767179449498,-0.13427203708547036,-0.18947308540388164,-0.20415919646253686,0.18099221352815822,0.47523094502582564,0.05822726273746843,-0.1625393984097651,-0.34003077018830474,-0.47840507044177527,0.7624289463525106,1.6331467529976622,1.9020817365683091,2.2076468489818777,2.5527232506989757,2.941866992322066,1.7868605757938305,-1.4851416284779135,-1.1401541939837092,-0.7898067847724679,-0.4684436272951521,-0.24098655127118057,0.5932106771052482,-1.1853411189701843,-1.0863689945537065,-0.9927156323167844,-0.8840804206185361,-0.7573542970429804,0.10005837521237422,0.7474376995167967,0.8039109086783169,0.6807646576946899,0.5051640839267391,0.34422823031053695,-0.9233534060287462,0.08928899371071686,0.060900327164143626,0.0677000996140862,0.10487555541369223,0.16472147010344088,-0.8267959093432078,-0.2589411390970676
Nangarhar,0.3110056170814481,0.2651956545172518,0.2257792865573146,0.20208910404533564,0.1553034995068788,0.1073731754778563,0.22885894778797264,0.4217391113579061,0.38425328260135394,0.3086372191015776,0.23140067762060443,0.29011534930602895,-2.743319293863879,-2.9058444634519565,-3.040221293382833,0.5608593945401628,0.6645781585854131,0.8507499590590906,1.1304398935083724,1.4466748144573125,1.578159439460602,1.7318680123610684,1.9089095227729356,2.3086423341408975,0.2685794493223417,0.37664217266660704,0.49869384003328426,-1.345359655569268,-1.219499772831862,-0.9681378442695412,-0.587143945247183,-0.15531421151289296,0.07006605126806176,0.2592849088391085,0.3958420170872564,1.7847438761781627,0.3480081091995328,0.34511557383828173,0.32866016824231253,-0.13224284444989107,-0.1849811898780124,-0.08266349150752483,0.16429496033224184,0.35472886381563384,0.2768061933828026,0.17635843847158753,-1.0371549030955765,-1.2183318092767195,-1.826347965501409,-1.9433924467835195,-2.08966724620054,-1.5652347677171423,0.3881787474641209,0.33001779474896886,0.2937739238547684,0.31031668948123814,0.3453232861422519,0.3733570391517226,0.34550281240197744,0.23509043275075225,-0.021387208224803944,-0.09590587962532975,-0.20869126577640748,0.09797314219897359,0.41916761425465576,0.4347332047762946,0.4506580804857288,0.45588966973418,0.45129639220797874,0.45015769958502116,0.21233208328548797,0.26387438652184164,0.27005417842799956,0.2927089888840956,0.40327916223200533,0.7670996162145859,1.746409112816158,-2.177285278294454,-1.9778572263644238,-1.7971498986299903,-1.6117662687620269,-1.4029121782824747,-0.593990036451245,-0.24496375237152243,0.3360164356201206,0.3345321605512216,0.26855571656165217,0.09727080138755,0.16603117111441607,0.167254690312558,0.16180999242041694,0.14674299397016138,0.1398336022281886,0.13821619853945277,0.4364609839869706,0.48639025648431355
Panjsher,,,,0.15822332529491373,0.06170121436480874,0.06285831103019499,0.08630362849379744,0.09698990801063626,0.12276915312577315,0.1850188326694979,0.2681963926290161,0.1738446516499195,0.3535221874631344,0.37930794797294554,0.3641334457799939,-0.5011956377754208,-0.38767134041197726,-0.2787547851351639,-0.19028481356168345,-0.12901627555575496,-0.10736401222341853,-0.1186062798188033,-0.1394996657320251,-0.4895548783915029,-0.7415277097770527,-0.9003598298060101,-1.124204898314337,0.43949300456319723,0.4891281585168553,0.3714092278669752,0.21680118639556545,0.11708231087447366,0.041799175500241495,-0.028223477332942455,-0.05788197922314652,0.5686972524418908,0.008431726010868864,-0.12403202001946698,-0.3226935074133924,0.0002112657931755531,0.3424786662285975,0.2795242299653538,0.1266185016821733,0.1062320329467255,0.11224892735201936,-0.0006786908496984404,-0.2982264032965856,-1.1483035375602577,-2.479853125128406,-2.8639879387970955,-3.19572958153773,-2.830551056314233,1.757283990246131,1.5150963690176016,0.9780099571092872,0.51934172674849,0.2582274035580997,0.20150975871942772,0.07985285226122779,-0.06641915364612887,-1.7160683135298438,-1.817103936995973,-1.884377625205995,-1.525974429835984,0.32345241449430145,0.4103832151787852,0.3164648157058479,0.3510846659946708,0.4883821816577762,0.6493156218077538,0.39546124128104115,1.5016418828768987,-0.45635268141099444,-0.3967249662248406,-0.30497503444095436,-0.04898213403030062,2.8700351915875095,-0.04362907358045526,-0.07968542358800174,-0.08431635362565486,-0.08155139630817002,-0.10531758457830898,3.21282510307755,3.199974336016698,0.5896113068942558,0.4925222577008284,0.4288071362334568,0.30595285667147315,0.03431841557141384,0.13235288074926227,0.13028306097635767,0.12029950375966879,0.10302270162599458,0.08200181499519239,0.011296633762886756,0.07784359007507784
Bamyan,,,,-0.10242531611596158,-0.14912040199868204,-0.08770085404083143,-0.12904512247935176,-0.163336490158328,-0.2767025943501527,-0.24046504083758802,-0.16223863950078313,-0.11250483349033409,-0.004884890562753882,-0.0030455079500772745,-0.009052533606483946,-0.07871680846069988,-0.09396907878624748,-0.02079819778928426,-0.095909947312711,-0.10594222762688711,0.0884951201207239,0.7239526221447177,1.3460530965177788,2.4740880314901963,2.76791799303338,3.096010639179249,3.4467118724262553,-1.770569999950357,-1.2504819120355184,-0.6300552850287175,-0.24828539595768553,-0.1426407817191477,-0.17353120571905875,-0.13614727544954514,-0.06330955068866556,-1.5645606753490067,-1.7896159666428855,-1.7392188543507534,-1.6726834442960163,-0.3293560672124159,-0.1184507903293652,0.071648480679232,-0.020553280655340813,-0.09169957079725331,-0.18444281266739954,-0.27667364515700427,-2.2940291999438585,-0.318326711339896,-0.3261396690857544,-0.3280647946714684,-0.32394627342920057,-3.3863404444094845,0.09986091570466127,0.2086771343232608,0.1393247588228437,0.11734664486912069,0.15330916365106406,0.21917320268301846,0.0485732106947042,1.2202080559574693,1.2892271968495153,1.3973590243949374,1.5193346265123022,-0.12343065809110597,-0.52946101903667,-0.21780189433146438,-0.09160230662030719,0.026059262522364176,0.14911479861256816,0.2942105702360818,-0.3169895708536135,1.0097346402491363,-0.14298883039564636,0.009981869837613809,0.17265113122368736,-0.3532312740490552,1.952604259880239,-0.6624379118651327,-0.5733559439577928,-0.5090499947532309,-0.4609813289496297,-0.4156732945016419,1.2555842100845,1.8721331990963814,-0.18197756952930513,-0.2781438065115145,-0.3667728781703855,-0.05892328234570261,-0.0881053527790655,0.0169002943921883,-0.043721759312325234,-0.10351213599175153,-0.16301446976343975,-0.21572268741658765,-0.12727232650967985,-0.14709363850118334
Ghazni,,,,-0.1866782995264037,-0.23494524549014661,-0.2188103795556262,-0.20208984304779543,-0.18803070372930303,-0.18010000212604427,-0.1826200528423811,-0.21324018568581551,-0.2625520915914641,-0.32398353844227007,-0.36901532673589893,-0.3865153870559002,-0.21657364727424727,-0.17978479493607016,-0.14592533947123792,-0.11453386506435122,-0.08378063226201803,-0.05561795699615486,-0.03129326670347736,0.06011600244387051,-0.17877284029148272,-0.057129334161304696,0.09309030303645541,0.2496017467264313,-1.8476860840539269,-1.5999657993188714,-1.4825903801512166,-1.3742235554011586,-1.260276190828567,-1.1422701525736638,-1.0375418623855404,-0.8653639258992857,0.15947896863682734,0.051374032104391454,-0.11055960215183645,-0.23260634082001555,-0.17266962391133864,0.09816486504915548,0.16355650594294413,0.24036957946467233,0.3260819380543864,0.40788707296261617,0.47068168839731356,0.1096359288628098,-0.7205603781810289,-0.5574129767260405,-0.4159201059116363,-0.39253349431290663,-0.42926842411916094,3.434879573031897,3.3633779260038468,3.3077103755037993,3.2565084427023603,3.18668774407709,3.07299761577713,1.2071774541254494,0.03546777393344676,-0.11818509373314687,-0.17909157717903204,-0.15410717444774222,-0.06704784579332174,-0.4680622825089182,-0.3023759628870511,-0.297485996667404,-0.29881637230598457,-0.30275900422682256,-0.30765169933236747,-0.6846464536533193,0.22866289041874413,0.10004255794252699,0.1460102698173244,0.17500432604203195,0.20854542051611571,1.9022467189528778,-0.6197186147946387,-0.5818320812389525,-0.5380963956974829,-0.4941637440727222,-0.4582075966903304,0.5799956951930364,0.024083917113663363,-0.4198689722845726,-0.4396378716965903,-0.47532911979086573,-0.5397736317291161,-0.13387294451974102,0.06730169884271868,0.035890833518531465,0.0034842404708184203,-0.028447606415803545,-0.05500565701137738,-0.41389442033386775,-0.7345943569185216
Paktika,,,,0.26352411136338083,0.32765789016968605,0.35220524975221496,0.3642655400501888,0.3681918216071011,0.3657348403691416,0.34031803725484805,0.29754113400627935,-0.14283147331262955,-0.27372121186774456,-0.3962830062712716,-0.4838296741645105,0.44255759721700394,0.43609412077388393,0.5207942530568701,0.5856658662481756,0.6441938345182687,0.719733151761479,0.824802833369974,0.9619119165617318,0.3467308485708159,0.49439266615005495,0.6832421396907024,0.882084971680019,-2.074539755158688,-1.951509278974056,-1.6773279757861843,-1.4510169011664247,-1.242543501729297,-1.0336648806257422,-0.8414633918468186,-0.7524132420107016,1.5373589896622415,1.281511261984447,1.0186725701212374,0.7970978862996412,0.09773437114668586,-0.06463434561264662,0.0645022391719202,0.16260297818281158,0.16959035587852142,-0.001681512442949813,-0.30906284158956787,-0.6776736485138359,-2.4794281532959292,-2.9178218547174994,-3.294799926688854,-3.6293235137012423,-2.9606501541385164,0.9963426038604923,0.9552456353978789,0.7046888826435478,0.581996944140649,0.6425284382206041,0.7838014892739799,0.7348031501423742,-0.1269765381153529,-0.26547110644973515,-0.29266768595170983,-0.3006111254185842,0.235434265204197,-0.1971145420630852,0.43116988218090935,0.5406037114658492,0.6251232774679402,0.6851136882977652,0.7465694639363885,0.5556878846567523,0.24444217936977367,0.09236520709458952,0.15998768549058304,0.22321965323700382,0.3677898398971008,1.2599815198288027,-0.5616398748627187,-0.5186205836578368,-0.48818258494968353,-0.4788640345692284,-0.4817247983638734,1.0116211693569217,1.034454225036057,0.5924175184796284,0.5532462692973028,0.5098509382684381,0.18213000529501056,-0.22039034834433596,0.5850626527363828,0.5441112317945797,0.5097834913431036,0.4710398690141368,0.43057171571787045,-0.5744364762079909,-0.17897802219669803
Paktya,,,,-0.03003164240054962,0.06688699199760584,0.05680287400950867,0.06784797677646215,0.08564319858270558,0.13164015638972024,0.10234256717162764,-0.022026005627873546,0.1459001117819035,0.10719585007152796,0.0723193197141235,0.04216948829889969,0.2838951956077467,0.17356515694891939,0.15162102701821664,0.11631025529010107,0.08652749651709608,0.12523145248432047,0.06399635374392826,0.10242929286054647,1.093751540374577,2.1118907911515215,2.7996268210687423,3.281190005723721,-3.0847878650249787,-2.889134948406475,-2.3463096505719343,-1.7285710619326595,-0.9085791254696746,-0.137137333694216,0.09988190940989387,0.30633660899267806,-0.06913750314563216,0.01782224985138837,0.09263859934899102,0.15848144599197062,-0.04501457744170445,-0.31393739308973584,-0.11330209667809343,-0.01427432403171408,0.006211771696032392,0.013695071457932613,-0.1213805282962596,-1.5937855803306433,-1.4654607569274198,-1.6714073930944258,-1.8711535087274698,-2.065374730477639,-3.1603064693777267,0.18352007406587803,0.34616803217272135,0.30244726539422145,0.3020800074574511,0.43478003384922953,0.5464113412362493,-0.08673515357730595,0.07665094596432663,0.06383441650522494,0.07502759121858392,0.09498345637908892,-0.37334741576246666,0.38868531501577286,1.076546507619379,1.2472785621555371,1.3510356810605353,1.4855863265720277,1.594693330886205,1.6144244984787937,0.15053166296680212,0.03494483904384476,0.07742115803126719,0.12296385790459279,0.02937150048246786,0.3828046472216891,-0.41350522800182915,-0.2978719806879627,-0.2449643173544505,-0.19601989434726214,-0.14787154782289183,0.5036798217731621,0.48712604760738204,0.11868192953400751,0.08160122560634403,0.03838067801742475,0.20734544612106037,-0.6002539513613785,0.16945896928634302,0.22028455733173183,0.21364764779364342,0.17519316140427496,0.15622098529104092,-0.12207665267739777,-0.18390446544093933
