lag,acf,pacf
0,1.0,1.0
1,-0.0002473226656596735,-0.00025004049715041126
2,-0.00024998204916135255,-0.00025559974203976835
3,-0.0002526414326630741,-0.0002612852906849911
4,-0.026633060923816638,-0.027843856060863797
5,-0.00025796019966650057,-0.0002872757898681927
6,-0.1321494201214274,-0.14149353213658517
7,-0.0002632789666699353,-0.0003887290292424142
8,-0.01815694085797032,-0.021745027851500426
9,-0.0005744268363707819,-0.0007678530196084009
10,-0.0005770862198725026,-0.008958408879217804
11,0.03459060120682822,0.04001024348751234
12,-0.08031205206009151,-0.11626193718622221
13,-0.13131171431838665,-0.15765056761027516
14,0.0005744268363707819,-0.009070787089874797
15,0.0005717674528690537,0.0011097917328122078
16,0.0005691080693673389,-0.008255750277912125
17,0.04452938219861868,0.060442238102794636
18,0.0005637893023639255,-0.029855440471973613
19,0.13214410135442398,0.12785654862960993
20,0.06707630037204776,0.08648250324059738
21,0.0002499820491613392,0.0008677561451652334
22,0.00024732266565963436,-0.003930768954658354
23,-0.026133096825493897,-0.0029120613169112746
24,-0.2005348020221951,-0.29571883092369816
