lag,acled_events,acled_fatalities,idp_population,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
-12,0.28725741316934056,0.2112828262513804,0.40290973071757874,0.10139999735811736,0.10002203082802781,0.2458003659516124,0.31868121510183517,-0.13225086326591684,-0.05791301339267284
-11,0.18519115591014806,0.07716325405595087,0.3882035103423052,0.10855632364582529,0.04092516687577902,0.22463370368335747,0.06852557082206044,-0.05647274200460778,0.033683370356545755
-10,0.1576510224260181,0.02320692303427319,0.4095548594769629,-0.0320009293114019,-0.182560028234012,0.06446541459662915,-0.02792546848055543,-0.0008098959828904941,0.07507775709138416
-9,0.12116237576862653,-0.010186512024958815,0.4480338076929202,-0.29388084163169786,-0.28603779540566326,-0.14568858337450669,-0.08508970060078813,0.06329023022341765,0.09723916656638013
-8,-0.00439315919027204,-0.09272018045484678,0.4973657473414075,-0.23989208703087989,-0.143091152392054,0.00203656271772005,0.019717271525345557,0.11185316121871375,0.10989420654864568
-7,-0.013656773265448516,-0.09713007122641718,0.5473928621695646,-0.12481181261777118,0.018175103680822563,-0.030194516759719042,-3.84177165650734e-05,0.1268906632474191,0.09347188856178017
-6,-0.04655674577312097,-0.12442067806166819,0.5755836810935099,0.0747123112140636,0.1539789181824935,0.06916335089170608,0.057390924025998595,0.13328354159884764,0.07497773628987281
-5,-0.03857063094407775,-0.11425724114935355,0.5869394872564041,0.14883529740412763,0.19519336017622016,0.08072202239045534,0.022769459215064968,0.17690624875977487,0.0795568296500805
-4,-0.04589416686719669,-0.07947912389000791,0.5854314740939833,0.1554241846203675,0.13800399400903426,0.04736034074522237,0.015058856874477923,0.21848635128292,0.09414850392222703
-3,-0.031281583896720484,-0.06101287439059236,0.5869413005820986,0.07660067282525139,0.08403894056292482,0.024430991909035703,0.06354815113380108,0.24116504511652234,0.08895298132857578
-2,-0.07748070716955736,-0.08548622334796885,0.5945357175495254,0.07553758734511122,0.07958319375774718,0.13810429344280387,0.1838061038763015,0.26929508686292447,0.09137009548485632
-1,-0.10548883375891642,-0.11102111798530336,0.6105947030816709,0.07377655344600922,0.09563371520369948,0.15077632051968348,0.20515668986652422,0.27278061698873535,0.07988657504645029
0,-0.09758552055183502,-0.08610235888369445,0.6165052098322975,0.0938846059823246,0.11059147612494225,0.1761128470876478,0.21320931383420758,0.2588982541165154,0.05226463664277537
1,-0.0858715502745237,-0.041653404051767394,0.5828292536807486,0.0809800581544576,0.10632280618666508,0.17956648942546577,0.23010574146242127,0.267215830093306,0.042435977682151446
2,0.003462633716717857,0.09942133528590626,0.5436466032183763,0.06127361613865888,0.10529058970520513,0.1577029656970592,0.2227788769892602,0.25978881146454086,0.019176776051513005
3,0.0981781456528689,0.19932707045226444,0.4995444083277763,0.0835823255451796,0.10999406219665105,0.19056770557352218,0.18209659503859155,0.2441265407045629,-0.002831148955605029
4,0.23276258624453758,0.3071496242008264,0.4508323699654289,0.07740346889985837,0.11804899500002283,0.17027229923563914,0.15186696210091755,0.2335620843318952,-0.02903011015469466
5,0.31536325576341845,0.36183026193044365,0.39770323339667407,0.07166072214968862,0.10709857584188111,0.10232709588447628,0.09807866808547452,0.23250575454280936,-0.03964211178246856
6,0.36598420897977696,0.4011984739304791,0.3334997142605947,0.10402283076234242,0.09344785690062417,0.10154460227322974,0.05631091140225786,0.22932220370653286,-0.05906164923673934
7,0.40454477013985246,0.3758756804792256,0.26010660371015015,0.04570210959862817,0.06275858378315334,0.006343093648548821,0.0012643864842298536,0.21195569826245284,-0.09278554556665881
8,0.38051653022246307,0.3113023291672316,0.17685876722265081,0.03224742620693766,0.043362087102255385,-0.017130046464382584,-0.05944581520867637,0.20327531156818932,-0.1302765644886255
9,0.3826745962521447,0.25724185818684386,0.04726972539502485,0.02216227568584239,0.016132654023988658,-0.031180877011853042,-0.07799801069550631,0.2061828790310314,-0.16816658910648793
10,0.3965390729211291,0.26422131915503205,-0.08376334805262635,-0.009287152374427234,-0.01757951109314741,-0.10083298500543447,-0.05207026552281622,0.1937302433592382,-0.21348014035979146
11,0.37457921225651214,0.21697835491177864,-0.21492807142638046,-0.04413693494028564,-0.03833828397899287,-0.08328816958448186,-0.001754835625368842,0.18580377317926447,-0.25787539972535983
12,0.3705283921482237,0.23250068400884752,-0.3472277203732817,-0.07017444066508054,-0.03147238833515358,-0.015649680747884864,0.04661281766384773,0.176349523258172,-0.29074903803401864
