lag,acf,pacf
0,1.0,1.0
1,-0.001137939473040221,-0.0011504443024142866
2,-0.0015254099029284776,-0.0015606334883971767
3,-0.0015376458112407415,-0.0015930746758538415
4,-0.013057073714549831,-0.013656767585403644
5,-0.13964842156782775,-0.14773947467072152
6,-0.26623976942110555,-0.2919327111880208
7,-0.0015865894444897566,-0.018330670271224148
8,-0.011605079261494953,-0.018500032866686073
9,-0.00011012317481032874,-0.007896333820892212
10,-0.00012235908312259724,-0.034580919397708625
11,0.1839804769285151,0.13575442146330907
12,0.11680126165810156,0.07259649781594739
13,-0.044311662180166994,-0.05489750467062379
14,0.00020393180520434962,-0.013498708566142745
15,0.00019169589689210675,0.00018598038599866804
16,0.0001794599885798102,0.04612372189304139
17,-0.03435435190472307,0.08754701536822405
18,0.00015498817195530901,0.05384924336804221
19,0.047297223808358456,0.04894915028112407
20,-0.056279740054925614,-0.07391238895770215
21,0.0012439840117464609,0.004774710514655284
22,0.001231748103434226,-0.010328855920176131
23,0.012726704190118817,-0.002039965860198588
24,0.05911847078337004,0.13071862114433058
