lag,acf,pacf
0,1.0,1.0
1,-2.7068294695622865e-18,0.0
2,5.413658939124573e-18,0.0
3,-2.436146522606058e-17,0.0
4,-0.014285714285714294,-0.014935064935064937
5,-0.14285714285714282,-0.15110102749677937
6,-0.3,-0.32885099241572174
7,-0.10000000000000002,-0.14420796570184027
8,-0.028571428571428577,-0.06001054079281708
9,0.0,-0.019724174356924664
10,0.0,-0.04438663759148306
11,0.24285714285714294,0.1964854105165455
12,-0.11428571428571428,-0.2885014386031594
13,0.24285714285714288,0.24103516465500088
14,2.706829469562286e-17,-0.06855975908649793
15,-1.624097681737372e-17,0.029655409618173176
16,9.305322243275931e-18,0.05254131483971161
17,-0.10000000000000005,-0.028383452569735804
18,0.02857142857142856,0.026864317706504937
19,-0.11428571428571428,-0.02205343021507358
20,-0.014285714285714277,0.021420038409897642
21,1.0827317878249146e-17,0.02003100870947275
22,4.3309271512996584e-17,-0.0765550166105014
23,-0.02857142857142856,0.04985207792815035
24,0.12857142857142861,-0.0031492534920525323
