,wfp_price_mean,wfp_inflation_mean,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,acled_events,acled_fatalities,idp_population
lag_1,0.6567782737791482,0.08428041514548595,0.8770364482014722,0.6879934333843268,0.5190170887145925,0.24390753899443468,0.10363066112357212,0.02816064324370093,0.6781615502252782
lag_2,0.8309733076701866,0.2101244584010746,0.42898041958492267,0.8901022060455874,0.7477750262139745,0.5169715062667527,0.001681662321925894,0.0011112780558481163,0.19286366377012837
lag_3,0.7284377077854917,0.14593176379811765,0.5534435958958591,0.9752450074385113,0.7227884853810187,0.44030053745341413,0.00162520562684074,0.0042603860280255226,0.35377884642260543
lag_4,0.7607981279258269,0.0809053891215096,0.7311738155155378,0.49242173165103453,0.8560766220175166,0.16759305517107714,0.00425242410067638,0.009486162809019524,0.20143297258328813
lag_5,0.4272378106740542,0.10490214362447783,0.6916850768974492,0.6244765073120094,0.7412300186269976,0.20759952496989498,0.009882095829588575,0.016602741053310544,0.32796486133257774
lag_6,0.5815185141999993,0.14402917838943236,0.5584066104077118,0.35014037649846275,0.23093391117442752,0.22584768541517886,0.007862625794449421,0.025679669118921205,0.08756602397106261
