Data,Popolazione Fase 3+ (%),Eventi ACLED,Popolazione IDP,Pioggia 1M (mm),NDVI VIQ (%),Indice Prezzi WFP
2017-05-01,24.397083548271596,529.0,9968.0,34.42013870833334,103.58238219444445,0.9333333333333333
2017-08-01,26.114437630508057,4684.0,525110.0,10.609420896743384,100.43213462009805,1.0044117647058826
2017-11-01,33.1581854533629,227.0,71123.0,29.905581750000003,106.97679462500001,1.0034375
2018-08-01,43.59632499839922,3520.0,949454.0,11.95691256962255,95.85880046078431,1.018578431372549
2018-11-01,47.09747147003831,3752.0,917804.0,56.940343571323524,94.61459626225488,1.01375
2019-08-01,33.302074884884114,4939.0,699411.0,9.144610054902941,106.30552677777777,1.027450980392157
2019-11-01,36.73279836071336,5180.0,1067911.0,53.5387140282353,100.83117111176472,1.0236470588235294
2020-04-01,34.943240417212486,1390.0,922948.0,67.36629249117648,108.36366420588236,1.0036764705882353
2020-06-01,32.436401955991215,6229.0,1472025.0,11.338356869357355,106.76142914215686,1.0241666666666667
2020-08-01,36.89115486311412,3282.0,1107764.0,5.226265258377452,107.57026678104575,1.0263725490196076
2020-11-01,43.4446943796612,5660.0,934227.0,38.40797988117647,108.07962035882353,1.0190882352941177
2021-03-01,33.9061956752186,4070.0,1008867.0,52.30686956372549,105.24152362745097,1.041519607843137
2021-06-01,31.33243964906906,4281.0,1670408.0,8.487763292634803,99.11422240849674,1.0821568627450981
2021-09-01,48.24517208893323,480.0,1138485.0,7.237732161992646,99.11767359803922,1.0882352941176467
2021-11-01,54.504426353945526,1731.0,846336.0,35.851826545294124,106.03990753137253,1.0993235294117647
2022-03-01,46.6132720604104,1210.0,1857885.0,31.904646873529412,106.20282265359478,1.1159313725490196
2022-06-01,43.26752134858566,1874.0,1166350.0,11.851593699283823,99.49823113725489,1.1710294117647055
2022-09-01,40.34188261535977,621.0,1715080.0,4.950549192448529,101.94164031372549,1.1772058823529412
2022-11-01,45.82564942400888,1007.0,1863707.0,35.293123012352936,107.8783815392157,1.1788235294117648
2023-04-01,39.09058302322094,169.0,1015500.0,17.362302032352943,103.92470851960785,1.1494117647058826
2023-05-01,38.34547531516133,895.0,2571140.0,8.439862503746568,98.81573583169936,1.156495098039216
2023-10-01,30.727091367742776,114.0,2571140.0,7.991415608823528,99.01265598039217,1.145441176470588
2023-11-01,35.50520047715819,645.0,0.0,38.548671673529405,109.43692298823531,1.1075
2024-03-01,32.86094983925067,228.0,0.0,82.2895550882353,93.11710546568627,1.1072058823529414
2024-05-01,28.503337010941387,919.0,0.0,10.109274328754411,107.66533114705882,1.1192401960784313
2024-09-01,25.227098244551133,290.0,0.0,6.381051979095589,108.27092193137256,1.1186764705882355
2024-11-01,32.080252554984256,702.0,637282.0,33.51993108941176,106.24836470980392,1.1108529411764705
2025-03-01,27.321780301443,161.0,1027819.0,35.67904081764706,105.86145485784313,1.096470588235294
2025-05-01,22.189849478314176,681.0,410285.0,7.832871928433824,101.18579816666666,1.0983088235294118
2025-09-01,40.868363453816784,0.0,0.0,,,
2025-11-01,26.557546650467927,0.0,0.0,,,
2026-04-01,18.77659726191218,0.0,0.0,,,
