lag,acled_events,acled_fatalities,idp_population,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
-12,-0.21115800250822203,-0.19608889790828185,-0.43917602087352414,0.09530831089818179,0.23805778461433252,0.10910735843366375,0.24409217970492875,-0.24357637336951127,0.19606737550648595
-11,-0.2793555045174558,-0.32518045074367574,-0.42155569301730456,0.16131460667176817,0.2729332131496728,0.20070126709716216,0.24189839002794147,-0.21215449398094485,0.2690874583203716
-10,-0.3257541854052571,-0.40140941272932906,-0.40452250088864267,0.2185726825832966,0.24336695244285084,0.1703796171024488,0.16647938557892625,-0.1945381942853071,0.3121216478536784
-9,-0.37173961361572033,-0.46876007610876425,-0.38327008462341167,0.17576747552859873,0.14156271342308785,0.10370374862249365,0.051337399134605825,-0.17361656952241747,0.34253604097864204
-8,-0.37682940410569904,-0.45524882534370525,-0.35781823238275573,0.12237899835505689,0.013847192349707242,0.04086873783227575,-0.03541931342593182,-0.17142428730345047,0.35352395447566254
-7,-0.3428377462713977,-0.3707445336729273,-0.30129532920270974,0.0004516573638079918,-0.1448792414233198,-0.009171198356606687,-0.08547725935146909,-0.17412149708166633,0.3645848245379109
-6,-0.27327596292594025,-0.3452485870112413,-0.23942188146819282,-0.08871862971307291,-0.20975224177718024,-0.03787747085820364,-0.07577449066731595,-0.15496595581970804,0.38471115396592603
-5,-0.19398492579426782,-0.282212547660088,-0.17221912347173088,-0.215897988638059,-0.23739157434449198,-0.10372592604532947,-0.07700220530183031,-0.12051200447486565,0.396010840966227
-4,-0.16551603779937918,-0.2540929850771958,-0.0994621207494777,-0.13998368037333814,-0.19110240720502014,0.017304665790450098,-0.024881056382365763,-0.0785364345972201,0.4062820862119126
-3,-0.12532465580184007,-0.2185222989107201,-0.026897955027382653,-0.1303474805040719,-0.14952836224221566,-0.051056936453115265,-0.0495599379423325,-0.04900291346647961,0.4030319396588965
-2,-0.1870604153133872,-0.1982932419295787,0.04183390859044887,-0.12215663684608051,-0.08582692306952452,-0.062000947114999705,-0.006347406511153719,-0.0029005803738996103,0.4056836359333369
-1,-0.24243088666555998,-0.23045497566305057,0.11547828857413273,-0.05693421974730943,-0.004693108789150965,0.01464353998046885,0.029110446091707685,0.03596265371595896,0.3949699491803242
0,-0.29433392348621706,-0.21047445376685506,0.18176323638383837,0.004593039194524532,0.07888049586055003,0.04445908160035184,0.059257849230011844,0.0958334915883073,0.39986009893135005
1,-0.3837590195159584,-0.2103498506502715,0.2238188347344096,0.051298460060348175,0.14362062843296636,0.04174248570859071,0.045577084574357274,0.18472856465626283,0.44303104560457585
2,-0.3931361836471753,-0.15537770512611196,0.2626713890237356,0.11264243527593219,0.16258836564305604,0.02649499211177684,-0.003779535474340147,0.2592268761923424,0.47393239175740565
3,-0.37438220606338024,-0.15972798364147053,0.2990210741287225,0.14589467839724501,0.09038542397818339,0.019187880250330917,-0.1051141836644576,0.3111481811049802,0.4933334088297581
4,-0.32376125531973726,-0.13848343887114414,0.3323091378911228,0.09290940009870433,-0.04575445609003265,-0.05752997298548579,-0.19436146071624164,0.3608966490960924,0.5144941839069948
5,-0.2516662964575328,-0.12356097257588342,0.36630785185932596,-0.04467116085505637,-0.2234884660531859,-0.151308180204798,-0.2817623078382579,0.39501759741750175,0.5373405118607639
6,-0.1846617045120546,-0.09545825180122998,0.4008668431807407,-0.15183271945885715,-0.35342338596325773,-0.17455087696879704,-0.33444422441637595,0.41050522466952805,0.5427289436732395
7,-0.114017421635988,-0.04859163346313882,0.43510559920781866,-0.2943854994720251,-0.41859761706571424,-0.27944011151260284,-0.3553972973411608,0.411521709739386,0.5240381858991857
8,-0.10819061637658622,-0.08187756365339494,0.4687603141329903,-0.3244299622658891,-0.39507230005713245,-0.27329290027863934,-0.3043710262194181,0.4031114711520864,0.49801108301385777
9,-0.06425870118805374,-0.050519168421012395,0.49785564218271317,-0.29151762402273335,-0.35762739122367887,-0.23617881219834536,-0.2720255828707794,0.4133864209898209,0.47743641334029185
10,-0.06497741524832325,-0.14014773858187138,0.5267367264564027,-0.24536676541504682,-0.30808007749844574,-0.14396211769071715,-0.20126208517223462,0.40418998949909846,0.4435024074333956
11,-0.08362527451613407,-0.1422733314336972,0.5555942257088433,-0.24445152817075372,-0.24379231986056663,-0.17097714704173925,-0.15316924854813294,0.38617755914413837,0.3995177678737362
12,-0.11209642352593713,-0.11005851896330111,0.584141978288787,-0.18477615842602416,-0.13999731994403447,-0.12913876886925446,-0.15168663800179333,0.34714869535756293,0.3512058100686243
