lag,acled_events,acled_fatalities,idp_population,ipc_phase_3plus_pct,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.7652358155982966,0.4942580862222171,0.9795501752578251,0.886856797059366,0.36748736625998396,0.765174547713038,0.1512094415931085,0.6572632002134656,0.942969112128972,0.9672305556369712
2,0.22645084044087974,0.24596799713779224,-0.16626464431956667,-0.0716118070694276,0.00047306936239647335,-0.5159701892065008,0.0854877005899647,-0.14175303184628787,-0.4237509660952055,-0.29048063597419854
3,-0.20179377327800888,-0.09927607038501239,-0.14487524601874024,-0.049421301328619126,-0.22477737744951312,-0.3791740408808607,-0.13850468467378016,-0.42743037330502304,0.2161989426002152,0.13591002622862186
4,-0.13299897830161567,-0.0525572069297622,-0.1297497734993757,-0.07993045245160121,-0.010258166087222395,0.29564523507350243,-0.0016559347200655198,0.14528957138160006,-0.27937939498071734,-0.06794319405263775
5,0.05274593086056361,0.1485605826457615,-0.04527702624058392,0.018003696853416167,-0.28488386585013153,-0.5101358392298688,-0.10818953297340379,-0.08142601266337526,-0.18918389443693076,-0.39234895527418634
6,0.28748550461622724,-0.12255976144200342,-0.04741843398243047,-0.00062699310063918,-0.11472766798210737,-0.10484857830998599,-0.08398825423295551,-0.03975446652273014,-0.0450349167348113,0.16864937887845413
7,0.28767982155870386,0.10346868988464751,-0.05018607406807333,-0.04324661176067846,-0.17599629675496714,0.11774099559135533,0.014655532282325308,-0.053430417195078246,-0.06047283358663379,-0.14873269698438765
8,0.04272917293883517,0.14370110542367698,-0.05886166637675005,-0.0732375882183683,-0.10746095210497005,-0.27850348450004625,-0.1013216954798579,-0.07894810512115752,-0.03824720636595364,-0.13676775573985567
9,0.23606697418931952,0.3250889163729779,-0.060319060428733744,0.2639208930541608,-0.17164513368197992,0.08465209382324194,-0.04660088800754991,0.06645639143973768,0.06170640859834463,0.2583499147352458
10,0.2378736477653512,0.06664192162389646,-0.061828416684956235,-0.03289015834857734,0.017944861147673834,0.6771905109914181,0.231362036111801,0.017919291902836813,-0.10679267924523157,-0.12023018387389552
11,-0.04750748075605306,0.24832118400239434,-0.0612747814170295,-0.018499061908385347,0.12474016747858246,-0.31456026644808277,-0.14094269707803292,0.017965773784601104,-0.093049988330707,-0.05365983104255893
12,0.09188161629868062,0.21341801993525036,-0.06094348840510126,-0.13358514762018736,0.392384185534731,-0.045661631956767236,0.024136931202778506,0.18456943395116346,0.1104624851852257,0.27430666681222216
