lag,acf,pacf
0,1.0,1.0
1,-0.0015830870674915483,-0.001600483628672792
2,-0.00113950226616407,-0.0011673890769141216
3,-0.001156524707750002,-0.0011992482389762706
4,-0.11334495807060459,-0.11850283581297098
5,-0.05104453000037462,-0.05515264319432681
6,-0.16323296336322915,-0.1785035621053338
7,-0.11339602539536242,-0.1343114248007992
8,-0.03909271446568264,-0.07363770993303524
9,-0.0017192666001790385,-0.030068729003831153
10,-0.0017362890417649548,-0.059988394283646794
11,0.11041809943791778,0.07262938086332013
12,-0.007221756117535792,-0.06826804085179278
13,0.2619726076519233,0.2752196208491653
14,0.0006829003036238121,-0.027318219731662315
15,0.0006658778620379088,0.04108816757796206
16,0.000648855420451981,-0.0055593603701752006
17,-0.18632051855658183,-0.15265132013332172
18,0.0006148105372801031,0.029305871696156637
19,0.06107280963585639,0.18745835081598333
20,-0.1657797326687395,-0.19969866637083405
21,-0.0012786857591314,0.016756244759920814
22,-0.0012957082007173436,-0.055881206278973986
23,0.0236142495624231,0.018836934863426177
24,0.20103939381730782,0.21100707796807766
