label,order,seasonal,aic,bic
"ARIMA(1, 0, 1)x(0, 0, 0, 0)","(1, 0, 1)","(0, 0, 0, 0)",483.75631998058765,490.8646635379887
"ARIMA(1, 1, 1)x(0, 0, 0, 0)","(1, 1, 1)","(0, 0, 0, 0)",478.7858972998436,485.8560237799124
"ARIMA(1, 1, 1)x(1, 0, 0, 12)","(1, 1, 1)","(1, 0, 0, 12)",405.22475378677177,414.04352426433564
"ARIMA(1, 1, 1)x(1, 1, 1, 12)","(1, 1, 1)","(1, 1, 1, 12)",349.78682185630686,359.73174208912826
"ARIMA(2, 1, 1)x(1, 1, 1, 12)","(2, 1, 1)","(1, 1, 1, 12)",351.78495560616415,363.7188598855498
"ARIMA(1, 1, 2)x(1, 1, 1, 12)","(1, 1, 2)","(1, 1, 1, 12)",346.4856911988276,358.30744268014035
