date,observed,trend,seasonal,residual
2017-08-01,18.0,7.395408917515573,10.15454173900359,0.4500493434808366
2017-09-01,18.0,9.289053698092763,8.34155661278922,0.36938968911801773
2017-10-01,18.0,11.184378511702034,6.6076293671069495,0.20799212119101718
2017-11-01,18.0,13.080474362087362,4.867859865710399,0.05166577220223978
2017-12-01,18.0,14.976038438524395,3.2318271734195303,-0.20786561194392483
2018-01-01,18.0,16.869450399460213,1.6730812814028726,-0.5425316808630853
2018-02-01,18.0,18.758912325150487,0.1536396529039188,-0.912551978054406
2018-03-01,18.0,20.642703993712246,-1.2772101355799128,-1.3654938581323322
2018-04-01,18.0,22.519731991681567,-4.8349906331131045,0.31525864143153726
2018-05-01,18.0,24.390642367652312,-6.610425881868172,0.21978351421585884
2018-06-01,18.0,26.259655449557094,-8.350479619496111,0.09082416993901887
2018-07-01,18.0,28.139483321570353,-10.135186168895439,-0.004297152674915594
2018-08-01,40.0,29.953868749959923,7.913230126875123,2.132901123164956
2018-09-01,40.0,31.756170228011126,6.692970859374164,1.5508589126147108
2018-10-01,40.0,33.52492055310926,5.4140510078364,1.0610284390543399
2018-11-01,40.0,35.18754174311783,4.1899675476851135,0.6224907091970522
2018-12-01,40.0,36.66004933883215,3.024697470982008,0.3152531901858424
2019-01-01,40.0,37.892212616082425,1.898442733187544,0.2093446507300314
2019-02-01,40.0,38.8878495564993,0.7896762809526843,0.3224741625480192
2019-03-01,40.0,39.69066213435008,-0.8536557189590821,1.162993584609005
2019-04-01,40.0,40.35325976600473,-4.334933568698683,3.9816738026939476
2019-05-01,40.0,40.9231860608267,-5.629329985710696,4.706143924883996
2019-06-01,40.0,41.42814507481853,-6.91027837865899,5.482133303840456
2019-07-01,40.0,41.846707284747026,-8.202845037113704,6.356137752366678
2019-08-01,45.0,42.124686547049954,5.952515212466877,-3.077201759516832
2019-09-01,45.0,42.20624583164299,5.032076206283906,-2.238322037926892
2019-10-01,45.0,42.068705099698896,4.107829411894951,-1.1765345115938501
2019-11-01,45.0,41.75459259895767,3.3375562333184634,-0.09214883227613768
2019-12-01,45.0,41.360809156953884,2.5871306567213255,1.0520601863247876
2020-01-01,45.0,40.994419695730954,1.8522913413373234,2.1532889629317253
