lag,acf,pacf
0,1.0,1.0
1,5.9211894646675004e-18,0.0
2,0.0,0.0
3,3.125072217463403e-18,0.0
4,-9.210739167260555e-18,0.0
5,-2.6316397620744442e-18,0.0
6,-0.13888888888888887,-0.148578811369509
7,-0.05555555555555568,-0.06148810975527116
8,-5.460921474296323e-20,-0.0005638768323402723
9,1.0526559048297777e-17,-5.17103525238195e-06
10,7.747853466995849e-19,-4.742100410671921e-08
11,0.055555555555555546,0.0647694592754319
12,-0.11111111111111122,-0.1532728890893359
13,0.27777777777777796,0.32127912318394913
14,1.093468272976716e-17,-0.02244265278874036
15,0.0,0.008505897759548412
16,-1.5039771799999664e-17,-0.00036906292062124446
17,-1.686168250266649e-17,0.0211884593876168
18,0.05555555555555564,0.03511086531303353
19,-8.463420328440648e-17,0.09697303199799759
20,2.581012575110035e-19,0.018342918130551656
21,0.0,0.002619989587278467
22,-1.710565845348389e-17,-0.00378304011836029
23,1.818529929202677e-17,0.025528673847452412
24,0.22222222222222235,0.3049443228067114
