date,raw_residuals,standardized_residuals
2017-08-01,0.00012642400470319615,2.4195212530638418e-05
2017-09-01,-0.7143314481380862,-0.12868295374628286
2017-10-01,-9.008823077749639e-05,-1.4808728261338539e-05
2017-11-01,-6.601576790288277e-05,-1.047215617526712e-05
2017-12-01,-5.808317627042925e-05,-9.043126847329947e-06
2018-01-01,1.9173450368725753e-05,4.874390952675325e-06
2018-02-01,0.00010995015074044545,2.1227503924460813e-05
2018-03-01,2.857205897614133,0.5147173181172281
2018-04-01,-5.000046302592089,-0.900739868050909
2018-05-01,-4.438928560546174e-05,-6.576219147991964e-06
2018-06-01,-0.00010632441186331221,-1.7733620909336016e-05
2018-07-01,8.296994346679298e-06,2.9150344952049514e-06
2018-08-01,24.166814592241856,4.353570646568384
2018-09-01,-0.7143310880263698,-0.12868288887338533
2018-10-01,-9.008823076328554e-05,-1.4808728258778502e-05
2018-11-01,-6.601576789933006e-05,-1.047215617462711e-05
2018-12-01,-5.808317627042925e-05,-9.043126847329947e-06
2019-01-01,1.917345037583118e-05,4.874390953955344e-06
2019-02-01,0.00010995015073689274,2.1227503923820805e-05
2019-03-01,2.8572058976141292,0.5147173181172274
2019-04-01,-5.000046302592089,-0.900739868050909
2019-05-01,-4.438928560546174e-05,-6.576219147991964e-06
2019-06-01,-0.00010632441186686492,-1.7733620909976027e-05
2019-07-01,8.296994344902942e-06,2.9150344948849466e-06
2019-08-01,-24.833185407758144,-4.4736122355616255
2019-09-01,-0.7143318181832683,-0.12868302040866036
2019-10-01,-9.00882307810491e-05,-1.4808728261978548e-05
2019-11-01,-6.601576790110641e-05,-1.0472156174947114e-05
2019-12-01,-5.8083176272205606e-05,-9.04312684764995e-06
2020-01-01,1.9173450372278467e-05,4.874390953315334e-06
2020-02-01,0.00010995015073689274,2.1227503923820805e-05
2020-03-01,2.8572058976141292,0.5147173181172274
2020-04-01,29.99995369740791,5.404390762041954
2020-05-01,-4.386774496367707e-05,-6.482265380124683e-06
2020-06-01,-0.0001063244118597595,-1.7733620908696008e-05
2020-07-01,8.296994344902942e-06,2.9150344948849466e-06
2020-08-01,0.16681459224185602,0.030052500218991914
2020-09-01,-0.7143314456542385,-0.12868295329882615
2020-10-01,-9.008823077749639e-05,-1.4808728261338539e-05
2020-11-01,-6.601576789933006e-05,-1.047215617462711e-05
2020-12-01,-5.808317627042925e-05,-9.043126847329947e-06
2021-01-01,1.917345037583118e-05,4.874390953955344e-06
2021-02-01,0.00010995015073689274,2.1227503923820805e-05
2021-03-01,-2.1427941023858708,-0.3860156290388959
2021-04-01,-5.000046377097895,-0.9007398814728758
2021-05-01,-4.438928560546174e-05,-6.576219147991964e-06
2021-06-01,-0.00010632441186686492,-1.7733620909976027e-05
2021-07-01,8.296994344902942e-06,2.9150344948849466e-06
2021-08-01,0.16681459224185602,0.030052500218991914
2021-09-01,9.285668554345769,1.6727829410134218
2021-10-01,-8.993921915845249e-05,-1.4781884326382155e-05
2021-11-01,-6.601576789933006e-05,-1.047215617462711e-05
2021-12-01,-5.808317627042925e-05,-9.043126847329947e-06
2022-01-01,1.917345037583118e-05,4.874390953955344e-06
2022-02-01,0.00010995015073689274,2.1227503923820805e-05
2022-03-01,-7.142794102385878,-1.2867485761950206
2022-04-01,-5.000046451603701,-0.9007398948948426
2022-05-01,-4.4389285612567164e-05,-6.576219149271982e-06
2022-06-01,-0.00010632441186686492,-1.7733620909976027e-05
2022-07-01,8.296994344902942e-06,2.9150344948849466e-06
2022-08-01,0.16681459224185602,0.030052500218991914
2022-09-01,-5.7143314456542385,-1.0294159004549495
2022-10-01,-9.016273658346563e-05,-1.4822150228176722e-05
2022-11-01,-6.601576789933006e-05,-1.047215617462711e-05
2022-12-01,-5.808317627042925e-05,-9.043126847329947e-06
2023-01-01,1.917345037583118e-05,4.874390953955344e-06
2023-02-01,0.00010995015073689274,2.1227503923820805e-05
2023-03-01,2.8572058976141292,0.5147173181172274
2023-04-01,-5.000046302592089,-0.900739868050909
2023-05-01,-4.438928560546174e-05,-6.576219147991964e-06
2023-06-01,-0.00010632441186686492,-1.7733620909976027e-05
2023-07-01,8.296994344902942e-06,2.9150344948849466e-06
2023-08-01,0.16681459224185602,0.030052500218991914
2023-09-01,-0.7143314456542385,-0.12868295329882615
2023-10-01,-9.008823077749639e-05,-1.4808728261338539e-05
2023-11-01,-6.601576789933006e-05,-1.047215617462711e-05
2023-12-01,-5.808317627042925e-05,-9.043126847329947e-06
2024-01-01,1.917345037583118e-05,4.874390953955344e-06
2024-02-01,0.00010995015073689274,2.1227503923820805e-05
2024-03-01,-2.1427941023858708,-0.3860156290388959
2024-04-01,-5.000046377097895,-0.9007398814728758
